path,filename,extension,size_bytes,modified_time,category,purpose,research_stage,dependency_status,duplicate_status,final_status,recommended_action
PROJECT_FILE_INVENTORY.csv,PROJECT_FILE_INVENTORY.csv,.csv,95212,2026-08-23T18:09:51.372825,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
README.md,README.md,.md,6141,2026-08-23T18:10:38.753713,DOCUMENTATION,Project documentation / guide,DOCUMENTATION,REFERENCE,UNIQUE,KEEP_ACTIVE,preserve
CHANGELOG.md,CHANGELOG.md,.md,1598,2026-08-23T18:10:31.404729,DOCUMENTATION,Project documentation / guide,DOCUMENTATION,REFERENCE,UNIQUE,KEEP_ACTIVE,preserve
environment.yml,environment.yml,.yml,290,2026-08-23T18:10:24.948744,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
PROJECT_MANIFEST.csv,PROJECT_MANIFEST.csv,.csv,18464,2026-08-23T18:09:51.396181,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
Groundwater quality data_Northbengal.xlsx,Groundwater quality data_Northbengal.xlsx,.xlsx,16591,2026-08-20T21:55:07.823049,FINAL_SOURCE_DATA,Original North Bengal Groundwater Field Dataset,DATA_INGESTION,CRITICAL_SOURCE,UNIQUE,KEEP_ACTIVE,preserve
scientific_audit_report.md,scientific_audit_report.md,.md,12174,2026-08-23T18:05:27.271829,FINAL_REPORT,Formal Scientific Audit Report,DOCUMENTATION,CRITICAL_AUDIT,UNIQUE,KEEP_ACTIVE,preserve
requirements.txt,requirements.txt,.txt,244,2026-08-23T18:10:15.227767,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
.~lock.Groundwater quality data_Northbengal.xlsx#,.~lock.Groundwater quality data_Northbengal.xlsx#,.xlsx#,83,2026-08-20T21:56:21.339038,OBSOLETE,Hidden system file,UTILITY,NO_DEPENDENCY,UNIQUE,ARCHIVE,move_to_archive
files/08_RESEARCH_ROADMAP_PHASES_3_9.png,08_RESEARCH_ROADMAP_PHASES_3_9.png,.png,1153186,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
files/01_RESEARCH_WORKFLOW_DIAGRAM.png,01_RESEARCH_WORKFLOW_DIAGRAM.png,.png,292689,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
files/02_QA_QC_SUMMARY.png,02_QA_QC_SUMMARY.png,.png,550968,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
files/04_RISK_INDICES_SUMMARY.png,04_RISK_INDICES_SUMMARY.png,.png,663831,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
files/COMPREHENSIVE_RESEARCH_REPORT.html,COMPREHENSIVE_RESEARCH_REPORT.html,.html,41237,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
files/05_MAJOR_IONS_HYDROGEOCHEMISTRY.png,05_MAJOR_IONS_HYDROGEOCHEMISTRY.png,.png,607573,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
files/06_HEAVY_METALS_PROFILE.png,06_HEAVY_METALS_PROFILE.png,.png,541702,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
files/03_HYDROCHEMISTRY_SUMMARY.png,03_HYDROCHEMISTRY_SUMMARY.png,.png,666384,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
files/07_SPATIAL_DISTRIBUTION.png,07_SPATIAL_DISTRIBUTION.png,.png,341708,2026-08-22T15:43:38,UNKNOWN,Uncategorized file,UNKNOWN,UNCHECKED,UNKNOWN,ARCHIVE,move_to_archive_intermediate
archive/debug/streamlit.log,streamlit.log,.log,197,2026-08-23T17:55:14.210038,DEBUG_OUTPUT,Runtime debug log,DEBUG,TEMPORARY,TEMPORARY,ARCHIVE,move_to_archive_debug
archive/obsolete/stage5_output_results.zip,stage5_output_results.zip,.zip,227460,2026-08-23T04:47:13.917668,OBSOLETE,Compressed stage archive,ARCHIVE,HISTORICAL,DUPLICATE_ZIP,ARCHIVE,move_to_archive_obsolete
