SAMPLE_ID,true_value,predicted_value,lower_bound_90pct,upper_bound_90pct,interval_width,conformal_q_hat,is_covered
S98_01785,0.28,0.34455,0.254708,0.434391,0.179683,0.089842,True
S98_01786,0.19,0.056437,0.0,0.146279,0.146279,0.089842,False
S98_01788,0.27,0.164146,0.074304,0.253988,0.179683,0.089842,False
S98_01789,0.12,0.185338,0.095496,0.27518,0.179683,0.089842,True
S98_01791,0.12,0.168624,0.078783,0.258466,0.179683,0.089842,True
S98_01792,0.66,0.517942,0.428101,0.607784,0.179683,0.089842,False
S98_01793,0.16,0.161402,0.071561,0.251244,0.179683,0.089842,True
S98_01794,0.14,0.050344,0.0,0.140186,0.140186,0.089842,True
S98_01795,0.08,0.113505,0.023663,0.203347,0.179683,0.089842,True
S98_01796,0.06,0.060203,0.0,0.150044,0.150044,0.089842,True
S98_01797,0.02,0.070135,0.0,0.159976,0.159976,0.089842,True
S98_01798,0.39,0.395827,0.305985,0.485668,0.179683,0.089842,True
S98_01799,0.06,0.062455,0.0,0.152296,0.152296,0.089842,True
S98_01800,0.15,0.200339,0.110497,0.29018,0.179683,0.089842,True
S98_01801,0.09,0.07323,0.0,0.163072,0.163072,0.089842,True
S98_01802,0.2,0.166789,0.076947,0.256631,0.179683,0.089842,True
S98_01803,0.08,0.072226,0.0,0.162068,0.162068,0.089842,True
S98_01804,0.07,0.075953,0.0,0.165795,0.165795,0.089842,True
S98_01805,0.01,0.063217,0.0,0.153059,0.153059,0.089842,True
S98_01806,0.05,0.128562,0.03872,0.218403,0.179683,0.089842,True
S98_01807,0.16,0.068485,0.0,0.158327,0.158327,0.089842,False
S98_01808,0.11,0.187632,0.097791,0.277474,0.179683,0.089842,True
S98_01809,0.08,0.070812,0.0,0.160653,0.160653,0.089842,True
S98_01810,0.01,0.076761,0.0,0.166603,0.166603,0.089842,True
S98_01811,0.05,0.053526,0.0,0.143367,0.143367,0.089842,True
S98_01813,0.01,0.04348,0.0,0.133321,0.133321,0.089842,True
S98_01815,0.03,0.000628,0.0,0.09047,0.09047,0.089842,True
S98_01817,0.01,0.046943,0.0,0.136785,0.136785,0.089842,True
S98_01818,0.01,0.025832,0.0,0.115673,0.115673,0.089842,True
S98_01819,0.02,0.048611,0.0,0.138453,0.138453,0.089842,True
S98_01820,0.03,0.033495,0.0,0.123336,0.123336,0.089842,True
S98_01821,0.03,0.043232,0.0,0.133073,0.133073,0.089842,True
S98_01822,0.11,0.029061,0.0,0.118902,0.118902,0.089842,True
S98_01823,0.06,0.059606,0.0,0.149447,0.149447,0.089842,True
S98_01824,0.06,0.058657,0.0,0.148499,0.148499,0.089842,True
S98_01825,0.03,0.025981,0.0,0.115823,0.115823,0.089842,True
S98_01826,0.02,0.027572,0.0,0.117414,0.117414,0.089842,True
S98_01827,0.07,0.033751,0.0,0.123592,0.123592,0.089842,True
S98_01828,0.09,0.053698,0.0,0.14354,0.14354,0.089842,True
S98_01834,0.01,0.038958,0.0,0.1288,0.1288,0.089842,True
