SAMPLE_ID,true_value,predicted_value,lower_bound_90pct,upper_bound_90pct,interval_width,conformal_q_hat,is_covered
S98_01785,1.1,1.919847,0.205776,3.633919,3.428143,1.714072,True
S98_01786,1.0,1.260328,0.0,2.9744,2.9744,1.714072,True
S98_01788,1.4,1.560165,0.0,3.274236,3.274236,1.714072,True
S98_01789,0.8,1.824911,0.11084,3.538983,3.428143,1.714072,True
S98_01791,1.0,1.318956,0.0,3.033028,3.033028,1.714072,True
S98_01792,1.7,1.966078,0.252006,3.680149,3.428143,1.714072,True
S98_01793,0.9,0.301495,0.0,2.015566,2.015566,1.714072,True
S98_01794,1.3,1.741217,0.027146,3.455289,3.428143,1.714072,True
S98_01795,3.3,1.383604,0.0,3.097676,3.097676,1.714072,False
S98_01796,0.7,1.076404,0.0,2.790476,2.790476,1.714072,True
S98_01797,0.8,1.331513,0.0,3.045584,3.045584,1.714072,True
S98_01798,1.2,1.511625,0.0,3.225696,3.225696,1.714072,True
S98_01799,0.5,0.764544,0.0,2.478616,2.478616,1.714072,True
S98_01800,2.4,1.346858,0.0,3.06093,3.06093,1.714072,True
S98_01801,1.3,0.952825,0.0,2.666897,2.666897,1.714072,True
S98_01802,3.0,2.210848,0.496776,3.924919,3.428143,1.714072,True
S98_01803,2.0,1.244912,0.0,2.958984,2.958984,1.714072,True
S98_01804,1.5,2.434342,0.720271,4.148414,3.428143,1.714072,True
S98_01805,1.1,1.677018,0.0,3.391089,3.391089,1.714072,True
S98_01806,1.5,1.780776,0.066705,3.494848,3.428143,1.714072,True
S98_01807,1.6,1.343301,0.0,3.057372,3.057372,1.714072,True
S98_01808,7.5,3.184652,1.470581,4.898724,3.428143,1.714072,False
S98_01809,1.1,0.830681,0.0,2.544753,2.544753,1.714072,True
S98_01810,2.1,0.579304,0.0,2.293375,2.293375,1.714072,True
S98_01811,8.0,1.040908,0.0,2.75498,2.75498,1.714072,False
S98_01813,2.1,2.594971,0.8809,4.309043,3.428143,1.714072,True
S98_01815,3.4,4.243045,2.528973,5.957116,3.428143,1.714072,True
S98_01817,1.5,1.980742,0.26667,3.694813,3.428143,1.714072,True
S98_01818,4.5,3.798862,2.08479,5.512933,3.428143,1.714072,True
S98_01819,3.5,3.236671,1.5226,4.950743,3.428143,1.714072,True
S98_01820,5.5,4.110963,2.396891,5.825034,3.428143,1.714072,True
S98_01821,4.7,4.035649,2.321577,5.74972,3.428143,1.714072,True
S98_01822,3.9,3.489209,1.775137,5.20328,3.428143,1.714072,True
S98_01823,1.0,1.517927,0.0,3.231999,3.231999,1.714072,True
S98_01824,1.0,1.380849,0.0,3.094921,3.094921,1.714072,True
S98_01825,3.1,4.791591,3.07752,6.505663,3.428143,1.714072,True
S98_01826,8.9,3.369541,1.655469,5.083612,3.428143,1.714072,False
S98_01827,3.0,3.895199,2.181128,5.609271,3.428143,1.714072,True
S98_01828,3.5,3.959161,2.245089,5.673232,3.428143,1.714072,True
S98_01834,2.2,2.052972,0.338901,3.767044,3.428143,1.714072,True
