target,input_set_id,input_set_name,num_features,model,transformation,effective_N,mean_R2,median_R2,sd_R2,RMSE,MAE,spearman_rho,pos_fold_count,pos_fold_pct
As_num,E1,E1_Min2_FieldOnly,2,SVR_RBF,RAW,40,-0.5056,-0.2066,1.1392,5.7268,2.79,-0.2512,1,4.0
As_num,E1,E1_Min2_FieldOnly,2,SVR_RBF,LOG1P,40,-0.8343,-0.2141,2.3992,5.7741,2.8574,-0.2568,1,4.0
As_num,E1,E1_Min2_FieldOnly,2,PLS,RAW,40,-9.8832,-0.2684,34.7448,6.0756,3.9249,-0.0024,1,4.0
As_num,E1,E1_Min2_FieldOnly,2,PLS,LOG1P,40,-1.2325,-0.1257,4.07,5.6049,2.885,-0.0271,4,16.0
As_num,E1,E1_Min2_FieldOnly,2,Lasso,RAW,40,-9.4367,-0.244,33.1251,6.0468,3.9135,-0.0088,0,0.0
As_num,E1,E1_Min2_FieldOnly,2,Lasso,LOG1P,40,-0.9104,-0.1108,2.8618,5.601,2.8615,-0.1741,2,8.0
As_num,E1,E1_Min2_FieldOnly,2,Ridge,RAW,40,-9.7031,-0.2568,34.1291,6.0607,3.9157,-0.0032,0,0.0
As_num,E1,E1_Min2_FieldOnly,2,Ridge,LOG1P,40,-1.2016,-0.1243,3.9637,5.6033,2.8817,-0.0311,4,16.0
As_num,E1,E1_Min2_FieldOnly,2,ElasticNet,RAW,40,-9.4026,-0.2395,33.0537,6.0401,3.9078,-0.0065,0,0.0
As_num,E1,E1_Min2_FieldOnly,2,ElasticNet,LOG1P,40,-1.0058,-0.1309,3.1973,5.6032,2.8645,-0.1006,3,12.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,SVR_RBF,RAW,40,-0.3693,-0.1797,0.7543,5.6629,2.6702,0.1627,4,16.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,SVR_RBF,LOG1P,40,-0.6327,-0.1761,2.0019,5.6751,2.681,0.2551,4,16.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,PLS,RAW,40,-17.0648,-0.3969,64.9563,6.522,4.2231,-0.0706,0,0.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,PLS,LOG1P,40,-2.59,-0.1571,8.6859,5.7451,3.0019,-0.1058,3,12.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,Lasso,RAW,40,-15.2681,-0.3596,57.2885,6.4222,4.1684,-0.0759,0,0.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,Lasso,LOG1P,40,-0.9675,-0.1159,2.9622,5.6106,2.8711,-0.1881,2,8.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,Ridge,RAW,40,-16.3324,-0.3865,61.4692,6.491,4.2024,-0.0689,0,0.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,Ridge,LOG1P,40,-2.3927,-0.1536,7.9782,5.7305,2.9895,-0.1001,3,12.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,ElasticNet,RAW,40,-15.268,-0.3629,57.4491,6.4189,4.1627,-0.0738,0,0.0
As_num,E2,E2_Min3_Field_Plus_Depth,3,ElasticNet,LOG1P,40,-1.328,-0.1334,4.1443,5.6468,2.905,-0.1453,3,12.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,SVR_RBF,RAW,40,-0.2899,-0.1714,0.5481,5.6431,2.6586,0.2411,4,16.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,SVR_RBF,LOG1P,40,-0.4456,-0.172,1.4348,5.6412,2.6468,0.3497,4,16.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,PLS,RAW,40,-17.2147,-0.4268,63.62,6.5404,4.2674,-0.0587,0,0.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,PLS,LOG1P,40,-2.3638,-0.1577,7.719,5.7361,3.0005,-0.0939,3,12.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Lasso,RAW,40,-16.0443,-0.3998,58.1806,6.4868,4.2337,-0.0854,0,0.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Lasso,LOG1P,40,-1.0215,-0.1285,3.0901,5.6181,2.8803,-0.1757,2,8.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Ridge,RAW,40,-17.0118,-0.3861,61.7453,6.5801,4.3067,-0.1045,0,0.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Ridge,LOG1P,40,-2.3814,-0.1792,7.6477,5.776,3.0431,-0.1798,2,8.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,ElasticNet,RAW,40,-15.9193,-0.3843,58.033,6.4688,4.212,-0.0799,0,0.0
As_num,E3,E3_Min4_Field_Depth_LogSalinity,4,ElasticNet,LOG1P,40,-1.3663,-0.1513,4.2103,5.6523,2.9144,-0.1411,4,16.0
As_num,E4,E4_Min5_Field_Depth_Interactions,5,SVR_RBF,RAW,40,-0.3301,-0.1775,0.6149,5.6589,2.6724,0.1442,4,16.0
As_num,E4,E4_Min5_Field_Depth_Interactions,5,SVR_RBF,LOG1P,40,-0.5132,-0.1884,1.3811,5.6683,2.682,0.2289,4,16.0
As_num,E4,E4_Min5_Field_Depth_Interactions,5,PLS,RAW,40,-19.6304,-0.3848,76.2351,6.6687,4.2901,-0.0755,0,0.0
