SAMPLE_ID,actual_Ni_ugL,predicted_Ni_ugL,lower_bound_90pct,upper_bound_90pct,interval_width,q_hat_quantile,is_covered
S98_01785,1.1,1.6114,0.2335,2.9893,2.7558,1.3779,True
S98_01786,1.0,1.4185,0.0406,2.7964,2.7558,1.3779,True
S98_01788,1.4,1.4897,0.1118,2.8676,2.7558,1.3779,True
S98_01789,0.8,1.3463,0.0,2.7242,2.7242,1.3779,True
S98_01791,1.0,1.525,0.1471,2.9029,2.7558,1.3779,True
S98_01792,1.7,1.5079,0.13,2.8858,2.7558,1.3779,True
S98_01793,0.9,1.4773,0.0994,2.8552,2.7558,1.3779,True
S98_01794,1.3,1.8506,0.4727,3.2285,2.7558,1.3779,True
S98_01795,3.3,1.6016,0.2237,2.9795,2.7558,1.3779,False
S98_01796,0.7,1.5727,0.1948,2.9506,2.7558,1.3779,True
S98_01797,0.8,1.5973,0.2194,2.9752,2.7558,1.3779,True
S98_01798,1.2,1.6079,0.23,2.9858,2.7558,1.3779,True
S98_01799,0.5,1.3437,0.0,2.7216,2.7216,1.3779,True
S98_01800,2.4,1.3916,0.0137,2.7695,2.7558,1.3779,True
S98_01801,1.3,1.4224,0.0445,2.8003,2.7558,1.3779,True
S98_01802,3.0,2.2869,0.909,3.6648,2.7558,1.3779,True
S98_01803,2.0,1.6566,0.2787,3.0345,2.7558,1.3779,True
S98_01804,1.5,2.5566,1.1787,3.9345,2.7558,1.3779,True
S98_01805,1.1,2.0043,0.6264,3.3822,2.7558,1.3779,True
S98_01806,1.5,1.9947,0.6168,3.3726,2.7558,1.3779,True
S98_01807,1.6,1.7043,0.3264,3.0822,2.7558,1.3779,True
S98_01808,7.5,3.0053,1.6274,4.3832,2.7558,1.3779,False
S98_01809,1.1,1.5315,0.1536,2.9094,2.7558,1.3779,True
S98_01810,2.1,1.373,0.0,2.7509,2.7509,1.3779,True
S98_01811,8.0,1.3262,0.0,2.7041,2.7041,1.3779,False
S98_01813,2.1,2.4467,1.0688,3.8246,2.7558,1.3779,True
S98_01815,3.4,4.1373,2.7594,5.5152,2.7558,1.3779,True
S98_01817,1.5,2.0268,0.6489,3.4047,2.7558,1.3779,True
S98_01818,4.5,3.8576,2.4797,5.2355,2.7558,1.3779,True
S98_01819,3.5,3.1085,1.7306,4.4864,2.7558,1.3779,True
S98_01820,5.5,4.1577,2.7798,5.5356,2.7558,1.3779,True
S98_01821,4.7,4.4827,3.1048,5.8606,2.7558,1.3779,True
S98_01822,3.9,2.9227,1.5448,4.3006,2.7558,1.3779,True
S98_01823,1.0,1.644,0.2661,3.0219,2.7558,1.3779,True
S98_01824,1.0,1.5771,0.1992,2.955,2.7558,1.3779,True
S98_01825,3.1,3.7589,2.381,5.1368,2.7558,1.3779,True
S98_01826,8.9,2.7911,1.4132,4.169,2.7558,1.3779,False
S98_01827,3.0,3.2315,1.8536,4.6094,2.7558,1.3779,True
S98_01828,3.5,3.3936,2.0157,4.7715,2.7558,1.3779,True
S98_01834,2.2,2.2587,0.8808,3.6366,2.7558,1.3779,True
