metal,facies,N,mean,median,iqr,min,max,exceedance_bd_count
Arsenic (As),Mixed-Cation-HCO3,23,3.0848,0.5,0.85,0.25,27.8,0
Arsenic (As),Ca-HCO3,9,4.8111,1.7,2.9,0.25,28.7,0
Arsenic (As),Mixed-Cation-Mixed-Anion,3,0.4333,0.25,0.275,0.25,0.8,0
Iron (Fe),Mixed-Cation-HCO3,23,2.0546,0.24,1.3745,0.016,19.6,7
Iron (Fe),Ca-HCO3,9,0.4582,0.036,0.014,0.014,3.75,1
Iron (Fe),Mixed-Cation-Mixed-Anion,3,0.648,0.293,0.5545,0.271,1.38,1
Manganese (Mn),Mixed-Cation-HCO3,23,0.858,0.469,0.4875,0.032,6.2,13
Manganese (Mn),Ca-HCO3,9,1.099,0.766,0.678,0.492,2.54,9
Manganese (Mn),Mixed-Cation-Mixed-Anion,3,0.1087,0.085,0.0915,0.029,0.212,0
Lead (Pb),Mixed-Cation-HCO3,23,0.597,0.39,0.47,0.16,2.84,0
Lead (Pb),Ca-HCO3,9,0.3144,0.21,0.09,0.16,0.72,0
Lead (Pb),Mixed-Cation-Mixed-Anion,3,3.1967,1.23,3.4,0.78,7.58,0
Nickel (Ni),Mixed-Cation-HCO3,23,2.1391,1.5,1.1,0.5,8.0,0
Nickel (Ni),Ca-HCO3,9,4.5556,3.9,1.2,3.1,8.9,0
Nickel (Ni),Mixed-Cation-Mixed-Anion,3,1.2333,1.2,0.45,0.8,1.7,0
Zinc (Zn),Mixed-Cation-HCO3,22,26.0909,18.0,11.5,7.0,91.0,0
Zinc (Zn),Ca-HCO3,7,16.2857,15.0,7.5,6.0,30.0,0
Zinc (Zn),Mixed-Cation-Mixed-Anion,2,13.0,13.0,1.0,12.0,14.0,0
Cadmium (Cd),Mixed-Cation-HCO3,23,0.0861,0.07,0.065,0.01,0.27,0
Cadmium (Cd),Ca-HCO3,9,0.0411,0.03,0.01,0.01,0.11,0
Cadmium (Cd),Mixed-Cation-Mixed-Anion,3,0.39,0.39,0.27,0.12,0.66,0
Chromium (Cr),Mixed-Cation-HCO3,23,0.2652,0.25,0.0,0.25,0.6,0
Chromium (Cr),Ca-HCO3,9,0.25,0.25,0.0,0.25,0.25,0
Chromium (Cr),Mixed-Cation-Mixed-Anion,3,1.0333,0.25,1.175,0.25,2.6,0
Copper (Cu),Mixed-Cation-HCO3,23,0.6304,0.5,0.0,0.5,2.0,0
Copper (Cu),Ca-HCO3,9,0.6667,0.5,0.5,0.5,1.0,0
Copper (Cu),Mixed-Cation-Mixed-Anion,3,0.6667,0.5,0.25,0.5,1.0,0
