target_variable,best_input_set,best_features,best_model,oof_mean_r2,oof_median_r2,oof_rmse,oof_mae,oof_spearman_rho,screening_recommendation
Ni_num,Set_A,pH_proxy+TDS_calc,HuberRegressor,0.1155,0.2924,1.5321,0.9426,0.6161,FEASIBLE_FOR_FIELD_SCREENING
Pb_num,Set_A,pH_proxy+TDS_calc,HuberRegressor,-0.0456,0.0427,0.578,0.3875,0.4196,ASSOCIATION_ONLY_MANDATORY_LAB_TESTING
Cd_num,Set_D,pH_proxy+TDS_calc+NO3-N_num+WELL_DEPTH,Ridge,0.4941,0.5094,0.0572,0.043,0.6553,FEASIBLE_FOR_FIELD_SCREENING
Mn_num,Set_C,pH_proxy+TDS_calc+NO3-N_num,HuberRegressor,-0.0995,-0.0963,0.9318,0.5704,0.5259,ASSOCIATION_ONLY_MANDATORY_LAB_TESTING
Fe_num,Set_C,pH_proxy+TDS_calc+NO3-N_num,SVR_RBF,0.0224,-0.0331,2.6942,1.3468,0.4358,POTENTIAL_NONLINEAR_SCREENING_CANDIDATE
As_num,Set_B,pH_proxy+TDS_calc+WELL_DEPTH,SVR_RBF,-0.3218,-0.1882,5.5045,2.7215,0.3101,MANDATORY_LABORATORY_TESTING_REQUIRED
Zn_num,Set_A,pH_proxy+TDS_calc,Lasso,-0.2513,-0.1413,21.6176,14.0675,-0.5533,MANDATORY_LABORATORY_TESTING_REQUIRED
WQI,Set_B,pH_proxy+TDS_calc+WELL_DEPTH,HuberRegressor,-0.1364,-0.1713,26.757,16.4882,0.3227,MANDATORY_LABORATORY_TESTING_REQUIRED
HPI,Set_C,pH_proxy+TDS_calc+NO3-N_num,Ridge,-0.1192,-0.083,66.1469,40.4544,0.3927,ASSOCIATION_ONLY_MANDATORY_LAB_TESTING
HEI,Set_C,pH_proxy+TDS_calc+NO3-N_num,ElasticNet,-0.105,-0.092,15.8742,9.6089,0.3854,ASSOCIATION_ONLY_MANDATORY_LAB_TESTING
