target,feature_set,model,raw_r2,log1p_r2,delta_r2,raw_rmse,log1p_rmse,delta_rmse,raw_spearman_rho,log1p_spearman_rho,delta_spearman_rho
As_num,Set A (FULL),ElasticNet,-17.156426552485133,-1.3040853011271227,15.85234125135801,7.162441767812359,5.4340659074746815,-1.7283758603376773,0.1668408006876079,0.28692737699647913,0.12008657630887123
As_num,Set A (FULL),ExtraTrees,-13.18543135548524,-1.2462564901110431,11.939174865374198,6.695094743266164,5.648896001071514,-1.0461987421946501,-0.0973884673781153,-0.06809432679226787,0.029294140585847422
As_num,Set A (FULL),GradientBoosting,-10.031284082787732,-3.101032026862216,6.930252055925516,6.328416187280684,5.758750564880312,-0.5696656224003718,-0.03433816479268209,0.02929414058584743,0.06363230537852951
As_num,Set A (FULL),Lasso,-21.81429215586167,-1.0185130892311882,20.79577906663048,7.9836160397705696,5.461022040616846,-2.522593999153724,0.14026267313620988,0.27567532299661723,0.13541264986040735
As_num,Set A (FULL),RandomForest,-14.68232834771068,-3.0882272835556415,11.594101064155039,6.05843266295389,5.5543683987378225,-0.5040642642160673,0.05713327418895409,0.10068648320566104,0.043553209016706944
As_num,Set A (FULL),Ridge,-23.443991083923027,-4.067183358275148,19.37680772564788,7.6756139608829015,5.638026409555875,-2.037587551327026,0.14084467592930616,0.0888524264127028,-0.05199224951660336
As_num,Set A (FULL),SVR_RBF,-0.2869420159404987,-0.4269681030578559,-0.1400260871173572,5.650421892562344,5.673786027640338,0.023364135077994064,0.16043876996354853,0.15985676717045222,-0.000582002793096309
As_num,Set B (CORE),ElasticNet,-13.292896483733076,-1.2877751534230633,12.005121330310013,6.511988959141459,5.607185658551439,-0.9048033005900207,-0.02822713546517087,-0.020661099154918885,0.0075660363102519855
As_num,Set B (CORE),ExtraTrees,-9.589955638502486,-1.5388115583397939,8.051144080162693,6.567429161088634,5.779464023543124,-0.7879651375455099,-0.15597674854981014,-0.22193706510072492,-0.06596031655091478
As_num,Set B (CORE),GradientBoosting,-9.795812254660536,-2.784717699164976,7.011094555495561,7.452262823874655,6.20846259279482,-1.2438002310798346,-0.17110882117031412,-0.16325178346351402,0.007857037706800102
As_num,Set B (CORE),Lasso,-13.369837147226853,-0.9727305690734497,12.397106578153403,6.538330241323677,5.5902766314246275,-0.9480536098990493,-0.03210715408581292,-0.09913447575740424,-0.06702732167159131
As_num,Set B (CORE),RandomForest,-14.293383667428355,-2.5778650847467794,11.715518582681575,7.3399767773461,5.8831381045312545,-1.456838672814846,-0.1497687187567829,-0.16732580301518812,-0.017557084258405214
As_num,Set B (CORE),Ridge,-13.985580070826998,-1.978808019843759,12.006772050983239,6.600229580315172,5.664361691182287,-0.9358678891328847,-0.041128197378805666,-0.02104910101698309,0.020079096361822577
As_num,Set B (CORE),SVR_RBF,-0.2960299537586705,-0.3666566247415918,-0.07062667098292125,5.661672336537728,5.673113293888555,0.011440957350827397,0.15481274296361755,0.14191168104998275,-0.012901061913634798
As_num,Set C (pH SENSITIVITY),ElasticNet,-14.585577672088203,-1.2885253485359567,13.297052323552245,6.596963170137105,5.6103187887476285,-0.9866443813894765,-0.08594241244722126,-0.025511122430721442,0.060431290016499814
As_num,Set C (pH SENSITIVITY),ExtraTrees,-10.697277650855442,-1.5420502636447653,9.155227387210676,6.610750362246416,5.712422045011663,-0.8983283172347534,-0.21437102879047293,-0.13463664613627893,0.079734382654194
As_num,Set C (pH SENSITIVITY),GradientBoosting,-10.989355822927603,-4.137767159337241,6.851588663590362,7.275011353459531,6.1897791482447815,-1.0852322052147496,-0.13376364194663445,-0.03676317643058336,0.0970004655160511
As_num,Set C (pH SENSITIVITY),Lasso,-14.68586508448839,-0.9727305690734497,13.71313451541494,6.624860296178752,5.5902766314246275,-1.0345836647541242,-0.08497240779206076,-0.09913447575740424,-0.014162067965343472
As_num,Set C (pH SENSITIVITY),RandomForest,-12.732795604821739,-2.221015145928489,10.51178045889325,6.932605672249292,5.826116859579545,-1.1064888126697472,-0.15655875134290645,-0.13812866289485676,0.018430088448049692
As_num,Set C (pH SENSITIVITY),Ridge,-15.539997255217651,-2.1645425061623853,13.375454749055265,6.705916700699552,5.707275209470892,-0.9986414912286596,-0.08953142967131515,-0.09729146691259924,-0.007760037241284087
As_num,Set C (pH SENSITIVITY),SVR_RBF,-0.3068051600741269,-0.45996446545773767,-0.15315930538361078,5.681582326188418,5.708705315929897,0.02712298974147842,0.08555441058515706,0.09050143432647567,0.0049470237413186124
Cd,Set A (FULL),ElasticNet,-6.927590367640451,,,20.3697486249723,,,0.0427767354596623,,
