target,track,N,missing_count,min,max,mean,median,std,skewness,q25,q75,IQR,max_median_ratio,log1p_empirically_justified
As_num,Track 1,40,0,0.25,28.7,2.9800000000000004,0.6,6.627456487007628,3.084367593861124,0.25,1.75,1.5,47.833333333333336,True
Fe_num,Track 1,40,0,0.014,19.6,1.382975,0.178,3.4811730817355233,4.054035927841444,0.03925,0.979,0.93975,110.1123595505618,True
Mn_num,Track 1,40,0,0.008,6.2,0.79505,0.485,1.105709215495091,3.202911414732689,0.13974999999999999,0.786,0.64625,12.783505154639176,True
Pb_num,Track 1,40,0,0.16,7.58,0.8300000000000001,0.43,1.2693628524901976,4.070933194026212,0.23,0.8200000000000001,0.5900000000000001,17.627906976744185,True
Ni_num,Track 1,40,0,0.5,8.9,2.515,1.65,2.0360280588465023,1.6532540811841223,1.1,3.3249999999999997,2.2249999999999996,5.3939393939393945,True
Zn_num,Track 1,35,5,3.0,96.0,23.914285714285715,16.0,23.278835917645715,2.000305061076643,11.0,22.5,11.5,6.0,True
HPI,Track 2,40,0,6.35425607050842,319.33359594934694,58.5591510987098,32.04087110925423,71.19321064168874,2.404662108301397,15.072542202592338,71.23626488406099,56.16372268146865,9.966445508315632,True
HEI,Track 2,40,0,0.4495238095238095,90.89709523809525,12.98432023809524,6.1737142857142855,17.799739334252777,2.8253950476520546,3.4583095238095245,15.40757142857143,11.949261904761904,14.72324293471554,True
WQI,Track 2,40,0,5.005176928445762,132.01162154810496,32.947224517925896,26.09314463004342,27.74533678362309,2.1933821603577686,16.414724899109853,36.755956319263625,20.341231420153772,5.059245384939458,True
Cd,Track 2,40,0,-5.55047619047619,84.89709523809523,6.984320238095238,0.17371428571428532,17.799739334252777,2.825395047652055,-2.541690476190476,9.40757142857143,11.949261904761906,488.7168311403519,False
