target,fold,config,model,observed,predicted,residual,abs_residual
As_num,0,M1_Core,Ridge,0.25,1.5398,-1.2898,1.2898
As_num,0,M1_Core,Ridge,0.25,1.6759,-1.4259,1.4259
As_num,0,M1_Core,Ridge,0.25,1.5367,-1.2867,1.2867
As_num,0,M1_Core,Ridge,0.6,1.6303,-1.0303,1.0303
As_num,0,M1_Core,Ridge,0.25,1.4601,-1.2101,1.2101
As_num,0,M1_Core,Ridge,0.6,3.2866,-2.6866,2.6866
As_num,0,M1_Core,Ridge,0.5,1.6998,-1.1998,1.1998
As_num,0,M1_Core,Ridge,1.1,1.5538,-0.4538,0.4538
As_num,0,M1_Core,HuberRegressor,0.25,0.8403,-0.5903,0.5903
As_num,0,M1_Core,HuberRegressor,0.25,0.9057,-0.6557,0.6557
As_num,0,M1_Core,HuberRegressor,0.25,0.9787,-0.7287,0.7287
As_num,0,M1_Core,HuberRegressor,0.6,0.9259,-0.3259,0.3259
As_num,0,M1_Core,HuberRegressor,0.25,0.9365,-0.6865,0.6865
As_num,0,M1_Core,HuberRegressor,0.6,1.706,-1.106,1.106
As_num,0,M1_Core,HuberRegressor,0.5,0.9675,-0.4675,0.4675
As_num,0,M1_Core,HuberRegressor,1.1,1.161,-0.061,0.061
As_num,0,M1_Core,ExtraTrees,0.25,0.5055,-0.2555,0.2555
As_num,0,M1_Core,ExtraTrees,0.25,2.4397,-2.1897,2.1897
As_num,0,M1_Core,ExtraTrees,0.25,0.6461,-0.3961,0.3961
As_num,0,M1_Core,ExtraTrees,0.6,2.1626,-1.5626,1.5626
As_num,0,M1_Core,ExtraTrees,0.25,1.3896,-1.1396,1.1396
As_num,0,M1_Core,ExtraTrees,0.6,2.9528,-2.3528,2.3528
As_num,0,M1_Core,ExtraTrees,0.5,1.9144,-1.4144,1.4144
As_num,0,M1_Core,ExtraTrees,1.1,1.7355,-0.6355,0.6355
As_num,0,M7_TargetSpecific_Selected,Ridge,0.25,2.1927,-1.9427,1.9427
As_num,0,M7_TargetSpecific_Selected,Ridge,0.25,0.9009,-0.6509,0.6509
As_num,0,M7_TargetSpecific_Selected,Ridge,0.25,2.0485,-1.7985,1.7985
As_num,0,M7_TargetSpecific_Selected,Ridge,0.6,2.3774,-1.7774,1.7774
As_num,0,M7_TargetSpecific_Selected,Ridge,0.25,1.7042,-1.4542,1.4542
As_num,0,M7_TargetSpecific_Selected,Ridge,0.6,6.2689,-5.6689,5.6689
As_num,0,M7_TargetSpecific_Selected,Ridge,0.5,1.6329,-1.1329,1.1329
As_num,0,M7_TargetSpecific_Selected,Ridge,1.1,2.1676,-1.0676,1.0676
As_num,0,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.036,-0.786,0.786
As_num,0,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.5507,-0.3007,0.3007
As_num,0,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.3034,-1.0534,1.0534
As_num,0,M7_TargetSpecific_Selected,HuberRegressor,0.6,1.2653,-0.6653,0.6653
As_num,0,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.1424,-0.8924,0.8924
As_num,0,M7_TargetSpecific_Selected,HuberRegressor,0.6,3.8916,-3.2916,3.2916
As_num,0,M7_TargetSpecific_Selected,HuberRegressor,0.5,1.0197,-0.5197,0.5197
As_num,0,M7_TargetSpecific_Selected,HuberRegressor,1.1,1.5169,-0.4169,0.4169
As_num,0,M7_TargetSpecific_Selected,ExtraTrees,0.25,0.8751,-0.6251,0.6251
As_num,0,M7_TargetSpecific_Selected,ExtraTrees,0.25,1.1565,-0.9065,0.9065
As_num,0,M7_TargetSpecific_Selected,ExtraTrees,0.25,0.71,-0.46,0.46
As_num,0,M7_TargetSpecific_Selected,ExtraTrees,0.6,2.42,-1.82,1.82
As_num,0,M7_TargetSpecific_Selected,ExtraTrees,0.25,1.0861,-0.8361,0.8361
As_num,0,M7_TargetSpecific_Selected,ExtraTrees,0.6,2.8592,-2.2592,2.2592
As_num,0,M7_TargetSpecific_Selected,ExtraTrees,0.5,1.0013,-0.5013,0.5013
As_num,0,M7_TargetSpecific_Selected,ExtraTrees,1.1,1.8976,-0.7976,0.7976
As_num,1,M1_Core,Ridge,0.25,0.0,0.25,0.25
As_num,1,M1_Core,Ridge,0.9,1.0124,-0.1124,0.1124
As_num,1,M1_Core,Ridge,0.25,0.8306,-0.5806,0.5806
As_num,1,M1_Core,Ridge,0.25,1.0862,-0.8362,0.8362
As_num,1,M1_Core,Ridge,1.0,0.3169,0.6831,0.6831
As_num,1,M1_Core,Ridge,0.25,4.4678,-4.2178,4.2178
As_num,1,M1_Core,Ridge,15.4,0.9642,14.4358,14.4358
As_num,1,M1_Core,Ridge,27.8,0.8153,26.9847,26.9847
As_num,1,M1_Core,HuberRegressor,0.25,0.0,0.25,0.25
As_num,1,M1_Core,HuberRegressor,0.9,0.621,0.279,0.279
As_num,1,M1_Core,HuberRegressor,0.25,0.4723,-0.2223,0.2223
As_num,1,M1_Core,HuberRegressor,0.25,1.56,-1.31,1.31
As_num,1,M1_Core,HuberRegressor,1.0,0.9646,0.0354,0.0354
As_num,1,M1_Core,HuberRegressor,0.25,2.7302,-2.4802,2.4802
As_num,1,M1_Core,HuberRegressor,15.4,0.6529,14.7471,14.7471
As_num,1,M1_Core,HuberRegressor,27.8,0.3219,27.4781,27.4781
As_num,1,M1_Core,ExtraTrees,0.25,0.7159,-0.4659,0.4659
As_num,1,M1_Core,ExtraTrees,0.9,1.0296,-0.1296,0.1296
As_num,1,M1_Core,ExtraTrees,0.25,0.9797,-0.7297,0.7297
As_num,1,M1_Core,ExtraTrees,0.25,0.961,-0.711,0.711
As_num,1,M1_Core,ExtraTrees,1.0,0.9614,0.0386,0.0386
As_num,1,M1_Core,ExtraTrees,0.25,3.602,-3.352,3.352
As_num,1,M1_Core,ExtraTrees,15.4,1.3706,14.0294,14.0294
As_num,1,M1_Core,ExtraTrees,27.8,0.6927,27.1073,27.1073
As_num,1,M7_TargetSpecific_Selected,Ridge,0.25,0.0,0.25,0.25
As_num,1,M7_TargetSpecific_Selected,Ridge,0.9,1.1777,-0.2777,0.2777
As_num,1,M7_TargetSpecific_Selected,Ridge,0.25,0.8547,-0.6047,0.6047
As_num,1,M7_TargetSpecific_Selected,Ridge,0.25,1.3016,-1.0516,1.0516
As_num,1,M7_TargetSpecific_Selected,Ridge,1.0,0.1213,0.8787,0.8787
As_num,1,M7_TargetSpecific_Selected,Ridge,0.25,4.599,-4.349,4.349
As_num,1,M7_TargetSpecific_Selected,Ridge,15.4,1.8708,13.5292,13.5292
As_num,1,M7_TargetSpecific_Selected,Ridge,27.8,0.6825,27.1175,27.1175
As_num,1,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.0,0.25,0.25
As_num,1,M7_TargetSpecific_Selected,HuberRegressor,0.9,0.7412,0.1588,0.1588
As_num,1,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.5302,-0.2802,0.2802
As_num,1,M7_TargetSpecific_Selected,HuberRegressor,0.25,2.9074,-2.6574,2.6574
As_num,1,M7_TargetSpecific_Selected,HuberRegressor,1.0,0.7024,0.2976,0.2976
As_num,1,M7_TargetSpecific_Selected,HuberRegressor,0.25,5.7462,-5.4962,5.4962
As_num,1,M7_TargetSpecific_Selected,HuberRegressor,15.4,1.5277,13.8723,13.8723
As_num,1,M7_TargetSpecific_Selected,HuberRegressor,27.8,0.6094,27.1906,27.1906
As_num,1,M7_TargetSpecific_Selected,ExtraTrees,0.25,0.7903,-0.5403,0.5403
As_num,1,M7_TargetSpecific_Selected,ExtraTrees,0.9,0.6688,0.2312,0.2312
As_num,1,M7_TargetSpecific_Selected,ExtraTrees,0.25,0.685,-0.435,0.435
As_num,1,M7_TargetSpecific_Selected,ExtraTrees,0.25,0.6211,-0.3711,0.3711
As_num,1,M7_TargetSpecific_Selected,ExtraTrees,1.0,0.7873,0.2127,0.2127
As_num,1,M7_TargetSpecific_Selected,ExtraTrees,0.25,2.9388,-2.6888,2.6888
As_num,1,M7_TargetSpecific_Selected,ExtraTrees,15.4,2.1196,13.2804,13.2804
As_num,1,M7_TargetSpecific_Selected,ExtraTrees,27.8,0.6219,27.1781,27.1781
As_num,2,M1_Core,Ridge,1.0,0.0,1.0,1.0
As_num,2,M1_Core,Ridge,2.2,1.5433,0.6567,0.6567
As_num,2,M1_Core,Ridge,0.8,0.0,0.8,0.8
As_num,2,M1_Core,Ridge,0.25,0.0,0.25,0.25
As_num,2,M1_Core,Ridge,0.25,1.877,-1.627,1.627
As_num,2,M1_Core,Ridge,0.5,0.9426,-0.4426,0.4426
As_num,2,M1_Core,Ridge,0.25,0.9602,-0.7102,0.7102
As_num,2,M1_Core,Ridge,12.3,1.2914,11.0086,11.0086
As_num,2,M1_Core,HuberRegressor,1.0,0.0,1.0,1.0
As_num,2,M1_Core,HuberRegressor,2.2,0.8517,1.3483,1.3483
As_num,2,M1_Core,HuberRegressor,0.8,0.0,0.8,0.8
As_num,2,M1_Core,HuberRegressor,0.25,0.0,0.25,0.25
As_num,2,M1_Core,HuberRegressor,0.25,1.1719,-0.9219,0.9219
As_num,2,M1_Core,HuberRegressor,0.5,0.3595,0.1405,0.1405
As_num,2,M1_Core,HuberRegressor,0.25,2.0655,-1.8155,1.8155
As_num,2,M1_Core,HuberRegressor,12.3,0.819,11.481,11.481
As_num,2,M1_Core,ExtraTrees,1.0,0.5626,0.4374,0.4374
As_num,2,M1_Core,ExtraTrees,2.2,1.373,0.827,0.827
As_num,2,M1_Core,ExtraTrees,0.8,0.2848,0.5152,0.5152
As_num,2,M1_Core,ExtraTrees,0.25,0.3682,-0.1182,0.1182
As_num,2,M1_Core,ExtraTrees,0.25,4.1929,-3.9429,3.9429
As_num,2,M1_Core,ExtraTrees,0.5,0.5882,-0.0882,0.0882
As_num,2,M1_Core,ExtraTrees,0.25,1.7246,-1.4746,1.4746
As_num,2,M1_Core,ExtraTrees,12.3,1.0837,11.2163,11.2163
As_num,2,M7_TargetSpecific_Selected,Ridge,1.0,0.0,1.0,1.0
As_num,2,M7_TargetSpecific_Selected,Ridge,2.2,1.8443,0.3557,0.3557
As_num,2,M7_TargetSpecific_Selected,Ridge,0.8,0.0,0.8,0.8
As_num,2,M7_TargetSpecific_Selected,Ridge,0.25,0.0,0.25,0.25
As_num,2,M7_TargetSpecific_Selected,Ridge,0.25,1.9255,-1.6755,1.6755
As_num,2,M7_TargetSpecific_Selected,Ridge,0.5,0.9343,-0.4343,0.4343
As_num,2,M7_TargetSpecific_Selected,Ridge,0.25,1.5534,-1.3034,1.3034
As_num,2,M7_TargetSpecific_Selected,Ridge,12.3,1.694,10.606,10.606
As_num,2,M7_TargetSpecific_Selected,HuberRegressor,1.0,0.0,1.0,1.0
As_num,2,M7_TargetSpecific_Selected,HuberRegressor,2.2,0.806,1.394,1.394
As_num,2,M7_TargetSpecific_Selected,HuberRegressor,0.8,0.0,0.8,0.8
As_num,2,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.0,0.25,0.25
As_num,2,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.0816,-0.8316,0.8316
As_num,2,M7_TargetSpecific_Selected,HuberRegressor,0.5,0.5618,-0.0618,0.0618
As_num,2,M7_TargetSpecific_Selected,HuberRegressor,0.25,1.195,-0.945,0.945
As_num,2,M7_TargetSpecific_Selected,HuberRegressor,12.3,0.813,11.487,11.487
As_num,2,M7_TargetSpecific_Selected,ExtraTrees,1.0,0.4324,0.5676,0.5676
As_num,2,M7_TargetSpecific_Selected,ExtraTrees,2.2,1.7469,0.4531,0.4531
As_num,2,M7_TargetSpecific_Selected,ExtraTrees,0.8,0.7091,0.0909,0.0909
As_num,2,M7_TargetSpecific_Selected,ExtraTrees,0.25,0.3659,-0.1159,0.1159
As_num,2,M7_TargetSpecific_Selected,ExtraTrees,0.25,5.4433,-5.1933,5.1933
As_num,2,M7_TargetSpecific_Selected,ExtraTrees,0.5,0.7978,-0.2978,0.2978
As_num,2,M7_TargetSpecific_Selected,ExtraTrees,0.25,1.366,-1.116,1.116
As_num,2,M7_TargetSpecific_Selected,ExtraTrees,12.3,1.2648,11.0352,11.0352
As_num,3,M1_Core,Ridge,1.1,1.1508,-0.0508,0.0508
As_num,3,M1_Core,Ridge,0.25,1.303,-1.053,1.053
As_num,3,M1_Core,Ridge,0.25,1.4376,-1.1876,1.1876
As_num,3,M1_Core,Ridge,0.5,0.7976,-0.2976,0.2976
As_num,3,M1_Core,Ridge,5.5,2.545,2.955,2.955
As_num,3,M1_Core,Ridge,0.9,2.0654,-1.1654,1.1654
As_num,3,M1_Core,Ridge,3.5,1.0582,2.4418,2.4418
As_num,3,M1_Core,Ridge,1.9,0.7415,1.1585,1.1585
As_num,3,M1_Core,HuberRegressor,1.1,0.7392,0.3608,0.3608
As_num,3,M1_Core,HuberRegressor,0.25,1.085,-0.835,0.835
As_num,3,M1_Core,HuberRegressor,0.25,0.5555,-0.3055,0.3055
As_num,3,M1_Core,HuberRegressor,0.5,0.4673,0.0327,0.0327
As_num,3,M1_Core,HuberRegressor,5.5,0.9929,4.5071,4.5071
As_num,3,M1_Core,HuberRegressor,0.9,0.8524,0.0476,0.0476
As_num,3,M1_Core,HuberRegressor,3.5,0.4669,3.0331,3.0331
As_num,3,M1_Core,HuberRegressor,1.9,0.6777,1.2223,1.2223
As_num,3,M1_Core,ExtraTrees,1.1,0.5433,0.5567,0.5567
As_num,3,M1_Core,ExtraTrees,0.25,1.1414,-0.8914,0.8914
As_num,3,M1_Core,ExtraTrees,0.25,1.1759,-0.9259,0.9259
As_num,3,M1_Core,ExtraTrees,0.5,0.9516,-0.4516,0.4516
As_num,3,M1_Core,ExtraTrees,5.5,1.9921,3.5079,3.5079
As_num,3,M1_Core,ExtraTrees,0.9,1.8392,-0.9392,0.9392
As_num,3,M1_Core,ExtraTrees,3.5,1.1251,2.3749,2.3749
As_num,3,M1_Core,ExtraTrees,1.9,0.8765,1.0235,1.0235
As_num,3,M7_TargetSpecific_Selected,Ridge,1.1,1.1808,-0.0808,0.0808
As_num,3,M7_TargetSpecific_Selected,Ridge,0.25,1.2463,-0.9963,0.9963
As_num,3,M7_TargetSpecific_Selected,Ridge,0.25,1.342,-1.092,1.092
As_num,3,M7_TargetSpecific_Selected,Ridge,0.5,0.76,-0.26,0.26
As_num,3,M7_TargetSpecific_Selected,Ridge,5.5,2.1726,3.3274,3.3274
As_num,3,M7_TargetSpecific_Selected,Ridge,0.9,2.0994,-1.1994,1.1994
As_num,3,M7_TargetSpecific_Selected,Ridge,3.5,1.3381,2.1619,2.1619
As_num,3,M7_TargetSpecific_Selected,Ridge,1.9,0.7899,1.1101,1.1101
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,1.1,0.6694,0.4306,0.4306
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.6917,-0.4417,0.4417
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.6768,-0.4268,0.4268
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,0.5,0.5907,-0.0907,0.0907
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,5.5,0.7516,4.7484,4.7484
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,0.9,0.8692,0.0308,0.0308
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,3.5,0.7253,2.7747,2.7747
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,1.9,0.6097,1.2903,1.2903
