target,best_config,best_model,best_transform,feature_count,mean_R2,median_R2,sd_R2,iqr_R2,RMSE,MAE,Spearman_rho,stability_status
As_num,M4_Core_IonExchange,ElasticNet,LOG1P,6,-1.2134,-0.0913,3.8921,0.1846,5.5195,2.8802,0.1565,HIGH VARIANCE
Fe_num,M4_Core_IonExchange,ElasticNet,LOG1P,6,-1.7028,-0.1205,6.4997,0.2952,2.693,1.4648,0.3086,HIGH VARIANCE
Mn_num,M4_Core_IonExchange,Lasso,LOG1P,6,-0.2894,-0.0845,0.4605,0.405,0.9176,0.6147,0.4496,STABLE
Pb_num,M5_Core_DepthInteractions,Ridge,LOG1P,7,-4.6402,0.1544,12.6224,0.6361,1.029,0.5935,0.5222,HIGH VARIANCE
Ni_num,M4_Core_IonExchange,ExtraTrees,LOG1P,6,-0.0419,0.2921,0.8239,0.7611,1.597,1.0555,0.5175,STABLE
Zn_num,M1_Core,Lasso,LOG1P,5,-0.6877,-0.1325,1.6442,0.4211,21.4577,14.1925,-0.1162,HIGH VARIANCE
HPI,M4_Core_IonExchange,Lasso,LOG1P,6,-0.1039,-0.0531,0.215,0.2866,61.7205,40.1888,0.4295,STABLE
HEI,M4_Core_IonExchange,Lasso,LOG1P,6,-0.3922,-0.0629,1.395,0.3524,15.1454,9.365,0.5562,STABLE
WQI,M4_Core_IonExchange,ElasticNet,LOG1P,6,-0.2842,-0.0761,0.498,0.4498,25.0543,18.0304,0.2438,STABLE
Cd,M4_Core_IonExchange,SVR_RBF,RAW,6,-0.255,-0.1309,0.4352,0.3341,15.6983,9.561,0.2762,STABLE
