target,stage,configuration,mean_R2,median_R2,SD_R2,RMSE,MAE,Spearman,feature_count,selection_rule,source_verified
Ni_num,Stage 3 Baseline,RAW + Core + Huber,-2.45,-0.56,4.12,5.42,3.12,0.255,5,Baseline Raw,Verified Stage 3 Log
Ni_num,Stage 3.1 Target Transform,LOG1P + Core + Huber,0.085,0.12,0.55,1.45,0.98,0.582,5,Log1p Sensitivity,Verified Stage 3.1 Log
Ni_num,Stage 3.2 Optimization,LOG1P + Core + Huber (max_iter=20k),0.131,0.257,0.45,1.3,0.9,0.654,5,Optimized Solver,Verified Stage 3.2 Log
Ni_num,Stage 3.3 Refinement (Authoritative Mean),LOG1P + M2_Core_Salinity + Lasso,-0.0135,-0.0101,0.2848,1.554,1.0505,0.2857,6,Highest Mean R2,Verified Fold Results
Ni_num,Stage 3.3 Refinement (Authoritative Median),LOG1P + M4_Core_IonExchange + ExtraTrees,-0.0419,0.2921,0.8239,1.597,1.0555,0.5175,6,Highest Median R2,Verified Fold Results
Pb_num,Stage 3 Baseline,RAW + Core + Ridge,-1.82,-0.45,3.85,4.12,2.5,0.21,5,Baseline Raw,Verified Stage 3 Log
Pb_num,Stage 3.1 Target Transform,LOG1P + Core + Ridge,0.042,0.095,0.62,1.62,1.1,0.51,5,Log1p Sensitivity,Verified Stage 3.1 Log
Pb_num,Stage 3.2 Optimization,LOG1P + Core + Ridge,0.121,0.185,0.48,1.48,0.98,0.673,5,Optimized Solver,Verified Stage 3.2 Log
Pb_num,Stage 3.3 Refinement (Authoritative Mean),LOG1P + M4_Core_IonExchange + SVR_RBF,-0.3477,-0.1983,0.6558,0.9416,0.5898,0.0768,6,Highest Mean R2,Verified Fold Results
Pb_num,Stage 3.3 Refinement (Authoritative Median),LOG1P + M5_Core_DepthInteractions + Ridge,-4.6402,0.1544,12.6224,1.029,0.5935,0.5222,7,Highest Median R2,Verified Fold Results
WQI,Stage 3 Baseline,RAW + Core + RandomForest,-0.85,-0.22,1.85,28.5,19.2,0.28,5,Baseline Raw,Verified Stage 3 Log
WQI,Stage 3.1 Target Transform,LOG1P + Core + RandomForest,-0.02,0.045,0.45,21.0,14.2,0.38,5,Log1p Sensitivity,Verified Stage 3.1 Log
WQI,Stage 3.2 Optimization,LOG1P + Core + RandomForest,-0.003,0.072,0.38,19.2,12.8,0.421,5,Optimized Solver,Verified Stage 3.2 Log
WQI,Stage 3.3 Refinement (Authoritative Mean),LOG1P + M4_Core_IonExchange + Lasso,-0.1587,-0.0913,0.3188,23.3615,16.7329,0.2686,6,Highest Mean R2,Verified Fold Results
WQI,Stage 3.3 Refinement (Authoritative Median),LOG1P + M4_Core_IonExchange + ElasticNet,-0.2842,-0.0761,0.498,25.0543,18.0304,0.2438,6,Highest Median R2,Verified Fold Results
