target,feature,appearance_freq,mean_rank,median_rank,rank_sd,mean_abs_shap
As_num,TDS_calc,25,3.88,4.0,1.45,0.04637
As_num,WELL_DEPTH,25,3.6,4.0,1.7,0.045073
As_num,CAI_1,25,3.44,4.0,1.7,0.038167
As_num,NO3-N_num,25,3.84,3.0,1.62,0.057144
As_num,pH_proxy,25,2.84,2.0,1.74,0.065114
As_num,TDS_log,25,3.4,3.0,1.81,0.045232
Fe_num,TDS_calc,25,2.68,1.0,2.03,0.06678
Fe_num,WELL_DEPTH,25,3.32,4.0,1.57,0.02427
Fe_num,CAI_1,25,4.08,4.0,1.62,0.025439
Fe_num,NO3-N_num,25,4.84,6.0,2.09,0.046112
Fe_num,pH_proxy,25,4.76,6.0,2.21,0.044646
Fe_num,Depth_x_TDS,25,4.28,4.0,1.87,0.019034
Fe_num,Depth_x_pH,25,4.04,3.0,1.56,0.0254
Mn_num,TDS_calc,25,3.88,4.0,1.51,0.012405
Mn_num,WELL_DEPTH,25,4.2,4.0,1.83,0.0
Mn_num,CAI_1,25,2.32,2.0,1.43,0.000991
Mn_num,NO3-N_num,25,1.92,2.0,0.8,0.040467
Mn_num,pH_proxy,25,3.4,3.0,1.13,0.0
Mn_num,CAI_2,25,5.28,5.0,0.45,0.016758
Pb_num,TDS_calc,25,3.72,4.0,0.92,0.025425
Pb_num,WELL_DEPTH,25,3.12,3.0,1.39,0.033463
Pb_num,CAI_1,25,3.44,3.0,1.86,0.033173
Pb_num,NO3-N_num,25,3.56,3.0,1.77,0.076122
Pb_num,pH_proxy,25,3.24,2.0,2.14,0.034719
Pb_num,TDS_log,25,3.92,5.0,1.76,0.023666
Ni_num,TDS_calc,25,1.16,1.0,0.54,0.139709
Ni_num,WELL_DEPTH,25,3.76,3.0,1.77,0.024383
Ni_num,CAI_1,25,5.44,5.0,1.81,0.045613
Ni_num,NO3-N_num,25,5.48,5.0,2.1,0.025779
Ni_num,pH_proxy,25,6.08,7.0,1.87,0.034654
Ni_num,Ratio_Ca_Mg_meq,25,4.52,4.0,1.86,0.021033
Ni_num,Ratio_Na_CaMg_meq,25,4.68,5.0,1.91,0.025892
Ni_num,Ratio_HCO3_CaMg_meq,25,4.88,6.0,2.01,0.031329
Zn_num,TDS_calc,25,2.04,1.0,1.28,0.0
Zn_num,WELL_DEPTH,25,1.72,2.0,0.66,0.001245
Zn_num,CAI_1,25,2.56,3.0,0.57,0.016275
Zn_num,NO3-N_num,25,3.8,4.0,0.69,0.002058
Zn_num,pH_proxy,25,4.88,5.0,0.43,0.004328
HPI,TDS_calc,25,5.32,6.0,1.01,0.005768
HPI,WELL_DEPTH,25,4.48,4.0,1.2,0.000925
HPI,CAI_1,25,2.44,2.0,0.85,0.023863
HPI,NO3-N_num,25,1.6,2.0,0.57,0.173674
HPI,pH_proxy,25,2.16,3.0,0.97,0.0
HPI,CAI_2,25,5.0,5.0,0.0,0.18264
HEI,TDS_calc,25,3.88,4.0,0.32,0.010569
HEI,WELL_DEPTH,25,3.72,3.0,1.11,0.011232
HEI,CAI_1,25,2.56,3.0,1.17,0.085816
HEI,NO3-N_num,25,1.96,2.0,1.25,0.288777
HEI,pH_proxy,25,2.88,2.0,1.77,0.038116
WQI,TDS_calc,25,5.88,6.0,0.59,0.015659
WQI,WELL_DEPTH,25,3.04,3.0,1.56,0.001052
WQI,CAI_1,25,2.2,2.0,1.02,0.030765
WQI,NO3-N_num,25,1.96,2.0,1.22,0.0
WQI,pH_proxy,25,4.0,4.0,0.0,0.016
WQI,CAI_2,25,3.92,5.0,1.35,0.126759
Cd,TDS_calc,25,4.16,4.0,1.22,0.122861
Cd,WELL_DEPTH,25,3.4,3.0,1.67,0.17601
Cd,CAI_1,25,3.76,4.0,1.73,0.193907
Cd,NO3-N_num,25,3.72,3.0,1.8,0.327958
Cd,pH_proxy,25,3.36,3.0,1.76,0.150135
Cd,CAI_2,25,2.6,2.0,1.57,0.220129
