target,feature_set,model,transformation,fold_idx,r2,rmse,mae
Ni_num,M1_Core,Ridge,LOG1P,1,-5.467833,2.49647,1.467578
Ni_num,M1_Core,Ridge,LOG1P,2,0.104682,1.200551,1.018647
Ni_num,M1_Core,Ridge,LOG1P,3,-0.531327,2.798532,1.941125
Ni_num,M1_Core,Ridge,LOG1P,4,-0.002577,2.736649,1.892885
Ni_num,M1_Core,Ridge,LOG1P,5,0.873655,0.44644,0.363047
Ni_num,M1_Core,Ridge,LOG1P,6,-0.544952,1.430418,0.943069
Ni_num,M1_Core,Ridge,LOG1P,7,0.188222,2.090522,1.547969
Ni_num,M1_Core,Ridge,LOG1P,8,0.158255,2.137791,1.231276
Ni_num,M1_Core,Ridge,LOG1P,9,-4.852159,0.560035,0.459004
Ni_num,M1_Core,Ridge,LOG1P,10,-0.60554,2.621204,1.559257
Ni_num,M1_Core,Ridge,LOG1P,11,-0.01063,0.898817,0.708266
Ni_num,M1_Core,Ridge,LOG1P,12,0.3932,1.825609,1.151819
Ni_num,M1_Core,Ridge,LOG1P,13,0.273648,2.217906,1.404683
Ni_num,M1_Core,Ridge,LOG1P,14,-0.786757,2.883208,2.097127
Ni_num,M1_Core,Ridge,LOG1P,15,-0.215685,0.676174,0.574949
Ni_num,M1_Core,Ridge,LOG1P,16,-0.145432,2.545886,1.295793
Ni_num,M1_Core,Ridge,LOG1P,17,0.547207,0.824816,0.737805
Ni_num,M1_Core,Ridge,LOG1P,18,0.810028,0.594031,0.509098
Ni_num,M1_Core,Ridge,LOG1P,19,-0.354846,1.228742,0.943351
Ni_num,M1_Core,Ridge,LOG1P,20,0.025588,2.836986,2.019343
Ni_num,M1_Core,Ridge,LOG1P,21,0.168526,0.626795,0.52597
Ni_num,M1_Core,Ridge,LOG1P,22,0.299945,1.834415,1.241652
Ni_num,M1_Core,Ridge,LOG1P,23,0.696256,0.726435,0.490638
Ni_num,M1_Core,Ridge,LOG1P,24,0.134097,2.378228,1.823509
Ni_num,M1_Core,Ridge,LOG1P,25,-0.410255,2.536547,1.415035
Ni_num,M1_Core,Ridge,RAW,1,-2.883017,1.934335,1.390992
Ni_num,M1_Core,Ridge,RAW,2,-0.181995,1.37943,1.197963
Ni_num,M1_Core,Ridge,RAW,3,-0.905793,3.122009,2.343742
Ni_num,M1_Core,Ridge,RAW,4,0.03169,2.689476,1.847084
Ni_num,M1_Core,Ridge,RAW,5,0.724748,0.658946,0.555994
Ni_num,M1_Core,Ridge,RAW,6,-0.605767,1.4583,0.97751
Ni_num,M1_Core,Ridge,RAW,7,0.117676,2.179466,1.659316
Ni_num,M1_Core,Ridge,RAW,8,0.211711,2.068796,1.166839
Ni_num,M1_Core,Ridge,RAW,9,-12.996138,0.866086,0.733116
Ni_num,M1_Core,Ridge,RAW,10,-0.662244,2.667089,1.65005
Ni_num,M1_Core,Ridge,RAW,11,-0.276094,1.009989,0.761703
Ni_num,M1_Core,Ridge,RAW,12,0.382913,1.841019,1.235241
Ni_num,M1_Core,Ridge,RAW,13,0.293843,2.186855,1.428447
Ni_num,M1_Core,Ridge,RAW,14,-0.81318,2.904449,2.126967
Ni_num,M1_Core,Ridge,RAW,15,-0.338969,0.709632,0.590647
Ni_num,M1_Core,Ridge,RAW,16,-0.186996,2.591665,1.508129
Ni_num,M1_Core,Ridge,RAW,17,0.251686,1.06035,0.929613
Ni_num,M1_Core,Ridge,RAW,18,0.702321,0.743598,0.583079
Ni_num,M1_Core,Ridge,RAW,19,-0.597597,1.334287,1.039965
Ni_num,M1_Core,Ridge,RAW,20,0.128428,2.683105,1.997122
Ni_num,M1_Core,Ridge,RAW,21,0.159638,0.630136,0.49332
Ni_num,M1_Core,Ridge,RAW,22,0.188702,1.974793,1.348694
Ni_num,M1_Core,Ridge,RAW,23,0.635266,0.796033,0.679353
Ni_num,M1_Core,Ridge,RAW,24,0.187867,2.303205,1.76907
Ni_num,M1_Core,Ridge,RAW,25,-0.535432,2.646728,1.653963
Ni_num,M1_Core,Lasso,LOG1P,1,0.485163,0.70434,0.630123
Ni_num,M1_Core,Lasso,LOG1P,2,0.566014,0.835852,0.727951
Ni_num,M1_Core,Lasso,LOG1P,3,-0.097554,2.369241,1.25619
Ni_num,M1_Core,Lasso,LOG1P,4,-0.251215,3.057217,2.098838
Ni_num,M1_Core,Lasso,LOG1P,5,0.738503,0.642271,0.576638
Ni_num,M1_Core,Lasso,LOG1P,6,0.523658,0.794264,0.782198
Ni_num,M1_Core,Lasso,LOG1P,7,0.221655,2.047021,1.492043
Ni_num,M1_Core,Lasso,LOG1P,8,0.05381,2.266544,1.200416
Ni_num,M1_Core,Lasso,LOG1P,9,-5.541244,0.592089,0.565195
