variable,source_file,available,sample_count,missing_count,unit,scientific_relevance,already_used,eligible_for_stage5,reason
WELL_TYPE,data/processed/phase2_risk_indices_results.csv,True,38,2,N/A,Administrative metadata & sample identifiers,True,False,High cardinality categorical identifier or metadata
WELL_DEPTH,data/processed/phase2_risk_indices_results.csv,True,39,1,N/A,Core baseline predictor or engineered feature from Stage 3.3,True,True,Already included in Stage 3.3 feature sets
DISTRICT,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata & sample identifiers,True,False,High cardinality categorical identifier or metadata
THANA,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata & sample identifiers,True,False,High cardinality categorical identifier or metadata
UNION,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata & sample identifiers,True,False,High cardinality categorical identifier or metadata
MOUZA,data/processed/phase2_risk_indices_results.csv,True,39,1,N/A,Administrative metadata & sample identifiers,True,False,High cardinality categorical identifier or metadata
GEOCODE,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata & sample identifiers,True,False,High cardinality categorical identifier or metadata
SAMPLE_ID,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata & sample identifiers,True,False,High cardinality categorical identifier or metadata
Ca,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
Mg,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
Na,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
K,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
P,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L or ug/L,Additional measured chemical variables in raw dataset,False,True,Eligible candidate predictor for Stage 5.2 feature enhancement
Cl,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
HCO3,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
SO4,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
NH4-N,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L or ug/L,Additional measured chemical variables in raw dataset,False,True,Eligible candidate predictor for Stage 5.2 feature enhancement
NO2-N,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L or ug/L,Additional measured chemical variables in raw dataset,False,True,Eligible candidate predictor for Stage 5.2 feature enhancement
NO3-N,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
Pb,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
Ni,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
Zn,data/processed/phase2_risk_indices_results.csv,True,35,5,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
As,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
Cd,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Target variable,True,False,Target variable for prediction
Cr,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L or ug/L,Additional measured chemical variables in raw dataset,False,True,Eligible candidate predictor for Stage 5.2 feature enhancement
Cu,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L or ug/L,Additional measured chemical variables in raw dataset,False,True,Eligible candidate predictor for Stage 5.2 feature enhancement
Fe,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
Mn,data/processed/phase2_risk_indices_results.csv,True,40,0,N/A,Derived hydrochemical index or ratio,False,True,Potential feature candidate for Stage 5.2
Ca_num,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L,Major ions used in Stage 3.3 feature engineering,True,True,Available for advanced ion interaction features in Stage 5.2
Mg_num,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L,Major ions used in Stage 3.3 feature engineering,True,True,Available for advanced ion interaction features in Stage 5.2
Na_num,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L,Major ions used in Stage 3.3 feature engineering,True,True,Available for advanced ion interaction features in Stage 5.2
K_num,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L,Major ions used in Stage 3.3 feature engineering,True,True,Available for advanced ion interaction features in Stage 5.2
Cl_num,data/processed/phase2_risk_indices_results.csv,True,40,0,mg/L,Major ions used in Stage 3.3 feature engineering,True,True,Available for advanced ion interaction features in Stage 5.2
