target,sample_id,thana,observed_value,upper_3iqr_threshold,bdl_status,unit_correctness,duplicate_status,hydrochemical_plausibility,audit_status,action_taken,justification
Ni_num,S98_01826,Pabna Sadar,8.9,10.0,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (8.90) represents natural hydrogeochemical variability within expected regional range for Pabna Sadar.
Pb_num,S98_01788,Baliadangi,2.84,2.59,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (2.84) represents natural hydrogeochemical variability within expected regional range for Baliadangi.
Pb_num,S98_01798,Hatibandha,7.58,2.59,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (7.58) represents natural hydrogeochemical variability within expected regional range for Hatibandha.
Mn_num,S98_01796,Domar,6.2,2.7248,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (6.20) represents natural hydrogeochemical variability within expected regional range for Domar.
As_num,S98_01823,Raiganj,12.3,6.25,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (12.30) represents natural hydrogeochemical variability within expected regional range for Raiganj.
As_num,S98_01824,Sirajganj Sadar,15.4,6.25,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (15.40) represents natural hydrogeochemical variability within expected regional range for Sirajganj Sadar.
As_num,S98_01828,Bera,28.7,6.25,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (28.70) represents natural hydrogeochemical variability within expected regional range for Bera.
As_num,S98_01834,Sherpur,27.8,6.25,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (27.80) represents natural hydrogeochemical variability within expected regional range for Sherpur.
Fe_num,S98_01786,Boda,6.21,3.7982,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (6.21) represents natural hydrogeochemical variability within expected regional range for Boda.
Fe_num,S98_01801,Lalmonirhat Sadar,9.07,3.7982,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (9.07) represents natural hydrogeochemical variability within expected regional range for Lalmonirhat Sadar.
Fe_num,S98_01823,Raiganj,3.99,3.7982,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (3.99) represents natural hydrogeochemical variability within expected regional range for Raiganj.
Fe_num,S98_01834,Sherpur,19.6,3.7982,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (19.60) represents natural hydrogeochemical variability within expected regional range for Sherpur.
Zn_num,S98_01788,Baliadangi,58.0,57.0,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (58.00) represents natural hydrogeochemical variability within expected regional range for Baliadangi.
Zn_num,S98_01800,Rangpur Sadar,96.0,57.0,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (96.00) represents natural hydrogeochemical variability within expected regional range for Rangpur Sadar.
Zn_num,S98_01807,Jaipurhat Sadar,91.0,57.0,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (91.00) represents natural hydrogeochemical variability within expected regional range for Jaipurhat Sadar.
Zn_num,S98_01813,Gomastapur,78.0,57.0,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (78.00) represents natural hydrogeochemical variability within expected regional range for Gomastapur.
Cd,S98_01796,Domar,57.25,45.2554,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (57.25) represents natural hydrogeochemical variability within expected regional range for Domar.
Cd,S98_01834,Sherpur,84.8971,45.2554,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (84.90) represents natural hydrogeochemical variability within expected regional range for Sherpur.
HPI,S98_01796,Domar,275.9348,239.7274,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (275.93) represents natural hydrogeochemical variability within expected regional range for Domar.
HPI,S98_01828,Bera,244.561,239.7274,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (244.56) represents natural hydrogeochemical variability within expected regional range for Bera.
HPI,S98_01834,Sherpur,319.3336,239.7274,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (319.33) represents natural hydrogeochemical variability within expected regional range for Sherpur.
HEI,S98_01796,Domar,63.25,51.2554,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (63.25) represents natural hydrogeochemical variability within expected regional range for Domar.
HEI,S98_01834,Sherpur,90.8971,51.2554,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (90.90) represents natural hydrogeochemical variability within expected regional range for Sherpur.
WQI,S98_01796,Domar,112.9265,97.7797,NO,PASS (ug/L or mg/L consistent),UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Observation (112.93) represents natural hydrogeochemical variability within expected regional range for Domar.
