WELL_TYPE,WELL_DEPTH,DISTRICT,THANA,UNION,MOUZA,GEOCODE,SAMPLE_ID,Ca,Mg,Na,K,P,Cl,HCO3,SO4,NH4-N,NO2-N,NO3-N,Pb,Ni,Zn,As,Cd,Cr,Cu,Fe,Mn,Ca_num,Mg_num,Na_num,K_num,Cl_num,HCO3_num,SO4_num,NO3-N_num,Fe_num,Mn_num,As_num,Pb_num,Ni_num,Zn_num,Cd_num,Cr_num,Cu_num,TDS_calc,Ca_meq,Mg_meq,Na_meq,K_meq,Cl_meq,HCO3_meq,SO4_meq,NO3_meq,Cat_sum,An_sum,CBE_pct,pct_Ca,pct_Mg,pct_Na_K,pct_HCO3,pct_Cl,pct_SO4_NO3,Facies,Gibbs_Cation,Gibbs_Anion,Gibbs_Mechanism,Ratio_Na_Cl,Ratio_Ca_Mg,Ratio_CaMg_HCO3SO4,CAI_1,CAI_2,Ion_Exchange_Process
HTW,9,Panchagarh,Tetulia,Satmara,Satmara,57790,S98_01785,13.6,3.97,21.3,10.9,< 0.2,30.6,34,9.7,< 0.02,0.008,7.6,2.58,1.1,10,1,0.28,< 0.5,1,0.06,0.05,13.6,3.97,21.3,10.9,30.6,34.0,9.7,7.6,0.06,0.05,1.0,2.58,1.1,10.0,0.28,0.25,1.0,114.67,0.6786765806676979,0.32668175272577665,0.9264897781644194,0.27878663870274695,0.8631145460186725,0.557230890258293,0.20195711013949613,0.5425858499321768,2.210634750260641,2.1648883963486383,1.0455059287585495,30.70052981785796,14.777735339918085,54.52173484222396,25.7394742009858,39.868777876699134,34.391747922315076,Na-Mixed-Anion,0.6397592819164065,0.6076793179841403,Rock-Water Interaction Dominance,1.0734262125902994,2.0774854273461454,1.3242547733456014,-0.39642695448338733,-0.2628427900604738,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,15,Panchagarh,Boda,Boda,Boda,57725,S98_01786,12.8,4.09,7.1,2.2,< 0.2,10,68,2.4,< 0.02,0.004,< 0.2,0.5,1,22,2.2,0.19,< 0.5,< 1,6.21,0.323,12.8,4.09,7.1,2.2,10.0,68.0,2.4,0.1,6.21,0.323,2.2,0.5,1.0,22.0,0.19,0.25,0.5,72.69,0.6387544288637157,0.33655626414318046,0.30882992605480647,0.05626886285743517,0.2820635771302851,1.114461780516586,0.04996876951905059,0.00713928749910759,1.340409481919138,1.4536334146650292,4.052333372702051,47.6536787809928,25.10846638158023,27.237854837426966,76.66731992215514,19.4040377914182,3.9286422864266632,Mixed-Cation-HCO3,0.3636973836883445,0.20197526352515285,Rock-Water Interaction Dominance,1.0948947368421056,1.8979127620455511,0.8375859710800679,-0.2943847363305704,-0.0708751703241882,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,18,Thakurgaon,Baliadangi,Baliadanga,Baliadanga,59408,S98_01788,15.8,4.22,11.7,2.6,< 0.2,14.5,57,6.3,< 0.02,0.018,3,2.84,1.4,58,1.1,0.27,< 0.5,< 1,0.24,0.032,15.8,4.22,11.7,2.6,14.5,57.0,6.3,3.0,0.24,0.032,1.1,2.84,1.4,58.0,0.27,0.25,0.5,86.61999999999999,0.7884624981286491,0.3472536515120346,0.508916920400174,0.06649956519515066,0.4089921868389134,0.934181198374197,0.1311680199875078,0.2141786249732277,1.7111326352360083,1.688520030173846,0.6651445688036517,46.07839754163185,20.29378929261901,33.627813165749146,55.32544368324821,24.221932789083027,20.452623527668752,Mixed-Cation-HCO3,0.42189702492826103,0.30449694085772994,Rock-Water Interaction Dominance,1.2443194192377498,2.270566471210523,1.06605057765677,-0.4069131492283482,-0.13006696151499658,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,37,Thakurgaon,Thakurgaon Sadar,Salander,Salander,59494,S98_01789,9.24,2.42,7.2,4.2,< 0.2,14.2,17,4.4,< 0.02,0.079,3.9,0.78,0.8,14,< 0.5,0.12,< 0.5,< 1,1.38,0.085,9.24,2.42,7.2,4.2,14.2,17.0,4.4,3.9,1.38,0.085,0.25,0.78,0.8,14.0,0.12,0.25,0.5,54.059999999999995,0.46110085333599476,0.19913598025097717,0.31317964332318404,0.1074223745460126,0.40053027952500486,0.2786154451291465,0.0916094107849261,0.278432212465196,1.0808388514561686,1.0491873479042735,1.485967804593145,42.66138774663522,18.424206345163263,38.91440590820151,26.55535693274172,38.17528683747993,35.269356229778346,Mixed-Cation-Mixed-Anion,0.4770337396024124,0.5897560199307317,Rock-Water Interaction Dominance,0.7819125277983694,2.315507487671767,1.7833401054525893,-0.050112911233565614,-0.030943528287362902,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,30,Dinajpur,Birganj,Birgong,Kbirashat,52712,S98_01791,13.7,6.57,9.9,1.6,< 0.2,16.7,56,1.6,< 0.02,0.008,3.3,0.65,1,17,< 0.5,0.12,< 0.5,< 1,0.17,0.142,13.7,6.57,9.9,1.6,16.7,56.0,1.6,3.3,0.17,0.142,0.25,0.65,1.0,17.0,0.12,0.25,0.5,81.36999999999999,0.6836668496431957,0.5406295001028596,0.430622009569378,0.04092280935086194,0.47104617380757613,0.9177920545430708,0.0333125130127004,0.23559648747055045,1.6958411686662953,1.6577472288338977,1.1359157808630695,40.31432083824629,31.879724946649397,27.80595421510431,55.36381171867013,28.414837052022833,16.22135122930704,Mixed-Cation-HCO3,0.40818910659604907,0.33916561640658466,Rock-Water Interaction Dominance,0.9141821619918061,1.2645755540774632,1.2872363265927271,-0.0010585907292976772,-0.000420194378821701,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,30,Thakurgaon,Ranisankail,Ranisanwail,Ranisanwail,59486,S98_01792,22.3,7.49,10.1,3.4,< 0.2,20.9,37,4.8,< 0.02,0.028,12.5,1.23,1.7,,0.8,0.66,< 0.5,< 1,0.293,0.029,22.3,7.49,10.1,3.4,20.9,37.0,4.8,12.5,0.293,0.029,0.8,1.23,1.7,,0.66,0.25,0.5,99.99,1.1128299815360048,0.6163340876362889,0.4393214441061331,0.08696096987058162,0.5895128762022959,0.6063983217516717,0.09993753903810118,0.8924109373884487,2.2554464831490084,2.1882596743805176,1.5119543549171859,49.33967575157422,27.3264780273472,23.333846221078584,27.71144251531022,26.939804407316657,45.34875307737312,Mixed-Cation-Mixed-Anion,0.32107768534816794,0.49294034307134826,Rock-Water Interaction Dominance,0.7452279022916144,1.8055629306563812,2.448076283765161,0.10725883144897268,0.039550016486433325,Reverse Ion Exchange (Ca matrix -> Na solution)
HTW,18,Dinajpur,Dinajpur Sadar,Sibrampur,Sibrampur,52764,S98_01793,4.55,2.07,23,2.6,< 0.2,6.6,60,4.5,< 0.02,< 0.004,2.8,2.37,0.9,14,< 0.5,0.16,0.7,4,0.027,0.008,4.55,2.07,23.0,2.6,6.6,60.0,4.5,2.8,0.027,0.008,0.25,2.37,0.9,14.0,0.16,0.7,4.0,76.11999999999999,0.22705723838514894,0.170335321950216,1.000434971726838,0.06649956519515066,0.18616196090598816,0.9833486298675758,0.09369144284821987,0.1999000499750125,1.4643270972573537,1.4631020835967963,0.04184605621099792,15.505909766364443,11.632327385681082,72.86176284795445,67.20984413132504,12.723784826301356,20.066371042373603,Na-HCO3,0.8245296123839307,0.15917937158897616,Evaporation / Crystallization Dominance,5.374003189792666,1.3330014925002525,0.36896729323480526,-4.731216687499283,-0.6897524483450397,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,20,Dinajpur,Parbatipur,Parbatipur,Parbatipur,52777,S98_01794,23.8,10.2,23.8,2.5,< 0.2,32.3,120,15.4,< 0.02,< 0.004,< 0.2,0.97,1.3,23,0.8,0.14,< 0.5,< 1,1.65,0.647,23.8,10.2,23.8,2.5,32.3,120.0,15.4,0.1,1.65,0.647,0.8,0.97,1.3,23.0,0.14,0.25,0.5,168.1,1.1876840161684714,0.8393334704793253,1.0352327098738583,0.06394188961072178,0.9110653541308209,1.9666972597351515,0.32063293774724133,0.00713928749910759,3.1261920861323764,3.2055348391123215,1.2530981502629912,37.991396032156025,26.848429250479022,35.16017471736496,61.3531706390616,28.42163320187509,10.225196159063296,Mixed-Cation-HCO3,0.4806482534429405,0.31658808469504024,Rock-Water Interaction Dominance,1.1362880886426596,1.415032353577191,0.886193645709257,-0.20647173608442182,-0.08198376425793949,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,21,Dinajpur,Hakimpur,Hakimpur,Hakimpur,52747,S98_01795,21.9,9.01,14.5,1.6,< 0.2,21.2,106,7.3,< 0.02,< 0.004,1.4,0.16,3.3,21,0.9,0.08,< 0.5,< 1,0.224,0.469,21.9,9.01,14.5,1.6,21.2,106.0,7.3,1.4,0.224,0.469,0.9,0.16,3.3,21.0,0.08,0.25,0.5,129.91,1.0928689056340135,0.7414112322567373,0.6307090039147456,0.04092280935086194,0.5979747835162045,1.737249246099384,0.15198834062044556,0.09995002498750626,2.5059119511563583,2.58716239522354,1.595312350484996,43.611624308256594,29.586483751538502,26.801891940204907,67.14882874406032,23.11315225593086,9.738019000008828,Mixed-Cation-HCO3,0.3806356132767409,0.2560674162018792,Rock-Water Interaction Dominance,1.0547418073485604,1.4740387764392173,0.9709102501372006,-0.12317748470309367,-0.037028699211625694,Direct Ion Exchange (Na matrix -> Ca solution)
HTW,24,Nilphamari,Domar,Chilahati,Chilahati,57315,S98_01796,15.5,3.74,12.1,2.8,< 0.2,13.4,95,< 0.2,< 0.02,< 0.004,< 0.2,0.24,0.7,13,< 0.5,0.06,< 0.5,< 1,0.356,6.2,15.5,3.74,12.1,2.8,13.4,95.0,0.1,0.1,0.356,6.2,0.25,0.24,0.7,13.0,0.06,0.25,0.5,95.23999999999998,0.7734916912021558,0.3077556058424193,0.5263157894736842,0.0716149163640084,0.37796519335458206,1.556968663956995,0.002082032063293775,0.00713928749910759,1.6791780028822674,1.9441551768739784,7.313077789041111,46.06371033175021,18.327753538586407,35.608536129663406,80.08458802452469,19.44110212243012,0.474309853045187,Mixed-Cation-HCO3,0.4359931025833458,0.19533752635851437,Rock-Water Interaction Dominance,1.392498036135114,2.51333095650647,0.6935292738104163,-0.5819729338853521,-0.14044625160277457,Direct Ion Exchange (Na matrix -> Ca solution)
