WELL_TYPE,WELL_DEPTH,DISTRICT,THANA,UNION,MOUZA,GEOCODE,SAMPLE_ID,Ca,Mg,Na,K,P,Cl,HCO3,SO4,NH4-N,NO2-N,NO3-N,Pb,Ni,Zn,As,Cd,Cr,Cu,Fe,Mn,Ca_num,Mg_num,Na_num,K_num,Cl_num,HCO3_num,SO4_num,NO3-N_num,Fe_num,Mn_num,As_num,Pb_num,Ni_num,Zn_num,Cd_num,Cr_num,Cu_num,TDS_calc,Ca_meq,Mg_meq,Na_meq,K_meq,Cl_meq,HCO3_meq,SO4_meq,NO3_meq,Cat_sum,An_sum,CBE_pct,pct_Ca,pct_Mg,pct_Na_K,pct_HCO3,pct_Cl,pct_SO4_NO3,Facies,Gibbs_Cation,Gibbs_Anion,Gibbs_Mechanism,Ratio_Na_Cl,Ratio_Ca_Mg,Ratio_CaMg_HCO3SO4,CAI_1,CAI_2,Ion_Exchange_Process,Fe_mgL,Mn_mgL,Fe_ugL,Mn_ugL,As_ugL,Pb_ugL,Ni_ugL,Zn_ugL,Cd_ugL,WQI,WQI_Category,HPI,HEI,HPI_Polluted,HEI_Category,Latitude,Longitude
HTW,9.0,Panchagarh,Tetulia,Satmara,Satmara,57790,S98_01785,13.6,3.97,21.3,10.9,< 0.2,30.6,34,9.7,< 0.02,0.008,7.6,2.58,1.1,10.0,1,-4.922952380952381,< 0.5,1,0.06,0.05,13.6,3.97,21.3,10.9,30.6,34.0,9.7,7.6,0.06,0.05,1.0,2.58,1.1,10.0,0.28,0.25,1.0,114.67,0.6786765806676979,0.3266817527257766,0.9264897781644194,0.2787866387027469,0.8631145460186725,0.557230890258293,0.2019571101394961,0.5425858499321768,2.210634750260641,2.1648883963486383,1.0455059287585495,30.70052981785796,14.777735339918085,54.52173484222396,25.7394742009858,39.868777876699134,34.39174792231508,Na-Mixed-Anion,0.6397592819164065,0.6076793179841403,Rock-Water Interaction Dominance,1.0734262125902994,2.0774854273461454,1.3242547733456014,-0.3964269544833873,-0.2628427900604738,Direct Ion Exchange (Na matrix -> Ca solution),0.06,0.05,60.0,50.0,1.0,2.58,1.1,10.0,0.28,34.34489148846914,Excellent Water (WQI < 50),18.289902215325235,1.077047619047619,False,Low Contamination (HEI < 10),26.5851,88.354
HTW,15.0,Panchagarh,Boda,Boda,Boda,57725,S98_01786,12.8,4.09,7.1,2.2,< 0.2,10.0,68,2.4,< 0.02,0.004,< 0.2,0.5,1.0,22.0,2.2,18.221619047619047,< 0.5,< 1,6.21,0.323,12.8,4.09,7.1,2.2,10.0,68.0,2.4,0.1,6.21,0.323,2.2,0.5,1.0,22.0,0.19,0.25,0.5,72.69,0.6387544288637157,0.3365562641431804,0.3088299260548064,0.0562688628574351,0.2820635771302851,1.114461780516586,0.0499687695190505,0.0071392874991075,1.340409481919138,1.4536334146650292,4.052333372702051,47.6536787809928,25.10846638158023,27.23785483742697,76.66731992215514,19.4040377914182,3.9286422864266632,Mixed-Cation-HCO3,0.3636973836883445,0.2019752635251528,Rock-Water Interaction Dominance,1.0948947368421056,1.8979127620455511,0.8375859710800679,-0.2943847363305704,-0.0708751703241882,Direct Ion Exchange (Na matrix -> Ca solution),6.21,0.323,6210.0,323.0,2.2,0.5,1.0,22.0,0.19,25.855704411965394,Excellent Water (WQI < 50),56.37428551533419,24.221619047619047,False,High Contamination (HEI > 20),26.2104,88.5601
HTW,18.0,Thakurgaon,Baliadangi,Baliadanga,Baliadanga,59408,S98_01788,15.8,4.22,11.7,2.6,< 0.2,14.5,57,6.3,< 0.02,0.018,3,2.84,1.4,58.0,1.1,-4.446666666666666,< 0.5,< 1,0.24,0.032,15.8,4.22,11.7,2.6,14.5,57.0,6.3,3.0,0.24,0.032,1.1,2.84,1.4,58.0,0.27,0.25,0.5,86.61999999999999,0.7884624981286491,0.3472536515120346,0.508916920400174,0.0664995651951506,0.4089921868389134,0.934181198374197,0.1311680199875078,0.2141786249732277,1.7111326352360083,1.688520030173846,0.6651445688036517,46.07839754163185,20.29378929261901,33.627813165749146,55.32544368324821,24.221932789083027,20.452623527668752,Mixed-Cation-HCO3,0.421897024928261,0.3044969408577299,Rock-Water Interaction Dominance,1.2443194192377498,2.270566471210523,1.06605057765677,-0.4069131492283482,-0.1300669615149965,Direct Ion Exchange (Na matrix -> Ca solution),0.24,0.032,240.0,32.0,1.1,2.84,1.4,58.0,0.27,17.17472948528679,Excellent Water (WQI < 50),19.98611517303809,1.5533333333333335,False,Low Contamination (HEI < 10),26.0984,88.2778
HTW,37.0,Thakurgaon,Thakurgaon Sadar,Salander,Salander,59494,S98_01789,9.24,2.42,7.2,4.2,< 0.2,14.2,17,4.4,< 0.02,0.079,3.9,0.78,0.8,14.0,< 0.5,-0.43090476190476223,< 0.5,< 1,1.38,0.085,9.24,2.42,7.2,4.2,14.2,17.0,4.4,3.9,1.38,0.085,0.25,0.78,0.8,14.0,0.12,0.25,0.5,54.06,0.4611008533359947,0.1991359802509771,0.313179643323184,0.1074223745460126,0.4005302795250048,0.2786154451291465,0.0916094107849261,0.278432212465196,1.0808388514561686,1.0491873479042737,1.485967804593145,42.66138774663522,18.424206345163263,38.91440590820151,26.55535693274172,38.17528683747993,35.269356229778346,Mixed-Cation-Mixed-Anion,0.4770337396024124,0.5897560199307317,Rock-Water Interaction Dominance,0.7819125277983694,2.315507487671767,1.7833401054525893,-0.0501129112335656,-0.0309435282873629,Direct Ion Exchange (Na matrix -> Ca solution),1.38,0.085,1380.0,85.0,0.25,0.78,0.8,14.0,0.12,18.249796530656226,Excellent Water (WQI < 50),15.046192565181492,5.569095238095238,False,Low Contamination (HEI < 10),26.0337,88.4617
HTW,30.0,Dinajpur,Birganj,Birgong,Kbirashat,52712,S98_01791,13.7,6.57,9.9,1.6,< 0.2,16.7,56,1.6,< 0.02,0.008,3.3,0.65,1.0,17.0,< 0.5,-3.9033809523809526,< 0.5,< 1,0.17,0.142,13.7,6.57,9.9,1.6,16.7,56.0,1.6,3.3,0.17,0.142,0.25,0.65,1.0,17.0,0.12,0.25,0.5,81.36999999999999,0.6836668496431957,0.5406295001028596,0.430622009569378,0.0409228093508619,0.4710461738075761,0.9177920545430708,0.0333125130127004,0.2355964874705504,1.6958411686662953,1.6577472288338977,1.1359157808630695,40.31432083824629,31.8797249466494,27.80595421510431,55.36381171867013,28.414837052022836,16.22135122930704,Mixed-Cation-HCO3,0.408189106596049,0.3391656164065846,Rock-Water Interaction Dominance,0.914182161991806,1.2645755540774632,1.2872363265927271,-0.0010585907292976,-0.0004201943788217,Direct Ion Exchange (Na matrix -> Ca solution),0.17,0.142,170.0,142.0,0.25,0.65,1.0,17.0,0.12,13.082604476614115,Excellent Water (WQI < 50),11.09655415957902,2.0966190476190474,False,Low Contamination (HEI < 10),25.8542,88.6606
HTW,30.0,Thakurgaon,Ranisankail,Ranisanwail,Ranisanwail,59486,S98_01792,22.3,7.49,10.1,3.4,< 0.2,20.9,37,4.8,< 0.02,0.028,12.5,1.23,1.7,,0.8,-4.506047619047619,< 0.5,< 1,0.293,0.029,22.3,7.49,10.1,3.4,20.9,37.0,4.8,12.5,0.293,0.029,0.8,1.23,1.7,,0.66,0.25,0.5,99.99,1.1128299815360048,0.6163340876362889,0.4393214441061331,0.0869609698705816,0.5895128762022959,0.6063983217516717,0.0999375390381011,0.8924109373884487,2.2554464831490084,2.1882596743805176,1.511954354917186,49.33967575157422,27.3264780273472,23.333846221078584,27.71144251531022,26.939804407316657,45.34875307737312,Mixed-Cation-Mixed-Anion,0.3210776853481679,0.4929403430713482,Rock-Water Interaction Dominance,0.7452279022916144,1.8055629306563807,2.448076283765161,0.1072588314489726,0.0395500164864333,Reverse Ion Exchange (Ca matrix -> Na solution),0.293,0.029,293.0,29.0,0.8,1.23,1.7,,0.66,31.66534591709065,Excellent Water (WQI < 50),11.757935678971819,1.493952380952381,False,Low Contamination (HEI < 10),25.8711,88.2514
HTW,18.0,Dinajpur,Dinajpur Sadar,Sibrampur,Sibrampur,52764,S98_01793,4.55,2.07,23.0,2.6,< 0.2,6.6,60,4.5,< 0.02,< 0.004,2.8,2.37,0.9,14.0,< 0.5,-5.55047619047619,0.7,4,0.027,0.008,4.55,2.07,23.0,2.6,6.6,60.0,4.5,2.8,0.027,0.008,0.25,2.37,0.9,14.0,0.16,0.7,4.0,76.11999999999999,0.2270572383851489,0.170335321950216,1.000434971726838,0.0664995651951506,0.1861619609059881,0.9833486298675758,0.0936914428482198,0.1999000499750125,1.4643270972573537,1.4631020835967965,0.0418460562109979,15.505909766364445,11.632327385681082,72.86176284795445,67.20984413132504,12.723784826301356,20.066371042373603,Na-HCO3,0.8245296123839307,0.1591793715889761,Evaporation / Crystallization Dominance,5.374003189792666,1.3330014925002525,0.3689672932348052,-4.731216687499283,-0.6897524483450397,Direct Ion Exchange (Na matrix -> Ca solution),0.027,0.008,27.0,8.0,0.25,2.37,0.9,14.0,0.16,13.245176427613416,Excellent Water (WQI < 50),12.057443273946305,0.44952380952380955,False,Low Contamination (HEI < 10),25.6279,88.6332
HTW,20.0,Dinajpur,Parbatipur,Parbatipur,Parbatipur,52777,S98_01794,23.8,10.2,23.8,2.5,< 0.2,32.3,120,15.4,< 0.02,< 0.004,< 0.2,0.97,1.3,23.0,0.8,6.173238095238095,< 0.5,< 1,1.65,0.647,23.8,10.2,23.8,2.5,32.3,120.0,15.4,0.1,1.65,0.647,0.8,0.97,1.3,23.0,0.14,0.25,0.5,168.1,1.1876840161684714,0.8393334704793253,1.0352327098738583,0.0639418896107217,0.9110653541308208,1.9666972597351515,0.3206329377472413,0.0071392874991075,3.1261920861323764,3.205534839112321,1.2530981502629912,37.991396032156025,26.848429250479025,35.16017471736496,61.3531706390616,28.42163320187509,10.225196159063296,Mixed-Cation-HCO3,0.4806482534429405,0.3165880846950402,Rock-Water Interaction Dominance,1.1362880886426596,1.415032353577191,0.886193645709257,-0.2064717360844218,-0.0819837642579394,Direct Ion Exchange (Na matrix -> Ca solution),1.65,0.647,1650.0,647.0,0.8,0.97,1.3,23.0,0.14,22.569320875932803,Excellent Water (WQI < 50),44.30802371502183,12.173238095238094,False,Moderate Contamination (10 <= HEI <= 20),25.6565,88.9168
HTW,21.0,Dinajpur,Hakimpur,Hakimpur,Hakimpur,52747,S98_01795,21.9,9.01,14.5,1.6,< 0.2,21.2,106,7.3,< 0.02,< 0.004,1.4,0.16,3.3,21.0,0.9,-0.40319047619047577,< 0.5,< 1,0.224,0.469,21.9,9.01,14.5,1.6,21.2,106.0,7.3,1.4,0.224,0.469,0.9,0.16,3.3,21.0,0.08,0.25,0.5,129.91,1.0928689056340135,0.7414112322567373,0.6307090039147456,0.0409228093508619,0.5979747835162045,1.737249246099384,0.1519883406204455,0.0999500249875062,2.5059119511563583,2.58716239522354,1.595312350484996,43.611624308256594,29.586483751538506,26.801891940204907,67.14882874406032,23.11315225593086,9.738019000008828,Mixed-Cation-HCO3,0.3806356132767409,0.2560674162018792,Rock-Water Interaction Dominance,1.0547418073485604,1.474038776439217,0.9709102501372006,-0.1231774847030936,-0.0370286992116256,Direct Ion Exchange (Na matrix -> Ca solution),0.224,0.469,224.0,469.0,0.9,0.16,3.3,21.0,0.08,16.498302834940823,Excellent Water (WQI < 50),26.612879127000706,5.596809523809524,False,Low Contamination (HEI < 10),25.2818,89.0271
HTW,24.0,Nilphamari,Domar,Chilahati,Chilahati,57315,S98_01796,15.5,3.74,12.1,2.8,< 0.2,13.4,95,< 0.2,< 0.02,< 0.004,< 0.2,0.24,0.7,13.0,< 0.5,57.25,< 0.5,< 1,0.356,6.2,15.5,3.74,12.1,2.8,13.4,95.0,0.1,0.1,0.356,6.2,0.25,0.24,0.7,13.0,0.06,0.25,0.5,95.23999999999998,0.7734916912021558,0.3077556058424193,0.5263157894736842,0.0716149163640084,0.377965193354582,1.556968663956995,0.0020820320632937,0.0071392874991075,1.6791780028822674,1.9441551768739784,7.313077789041111,46.06371033175021,18.327753538586407,35.608536129663406,80.08458802452469,19.44110212243012,0.474309853045187,Mixed-Cation-HCO3,0.4359931025833458,0.1953375263585143,Rock-Water Interaction Dominance,1.392498036135114,2.51333095650647,0.6935292738104163,-0.5819729338853521,-0.1404462516027745,Direct Ion Exchange (Na matrix -> Ca solution),0.356,6.2,356.0,6200.0,0.25,0.24,0.7,13.0,0.06,112.92654242854064,Poor Water (100 <= WQI < 200),275.9347608105285,63.25,True,High Contamination (HEI > 20),26.1037,88.8378
