SAMPLE_ID,DISTRICT,THANA,TDS_calc,WELL_DEPTH,CAI_1,NO3-N_num,pH_proxy,As_num,Fe_num,Mn_num,Pb_num,Ni_num,Zn_num
S98_01785,Panchagarh,Tetulia,114.67,9.0,-0.3964269544833873,7.6,6.9571861602822676,1.0,0.06,0.05,2.58,1.1,10.0
S98_01786,Panchagarh,Boda,72.69,15.0,-0.2943847363305704,0.1,7.120865627475433,2.2,6.21,0.323,0.5,1.0,22.0
S98_01788,Thakurgaon,Baliadangi,86.61999999999999,18.0,-0.4069131492283482,3.0,7.036825040305283,1.1,0.24,0.032,2.84,1.4,58.0
S98_01789,Thakurgaon,Thakurgaon Sadar,54.06,37.0,-0.0501129112335656,3.9,6.890604631025332,0.25,1.38,0.085,0.78,0.8,14.0
S98_01791,Dinajpur,Birganj,81.36999999999999,30.0,-0.0010585907292976,3.3,7.063949885871145,0.25,0.17,0.142,0.65,1.0,17.0
S98_01792,Thakurgaon,Ranisankail,99.99,30.0,0.1072588314489726,12.5,6.8681645864556655,0.8,0.293,0.029,1.23,1.7,
S98_01793,Dinajpur,Dinajpur Sadar,76.11999999999999,18.0,-4.731216687499283,2.8,7.318286082809514,0.25,0.027,0.008,2.37,0.9,14.0
S98_01794,Dinajpur,Parbatipur,168.1,20.0,-0.2064717360844218,0.1,7.109518300441805,0.8,1.65,0.647,0.97,1.3,23.0
S98_01795,Dinajpur,Hakimpur,129.91,21.0,-0.1231774847030936,1.4,7.100647031158575,0.9,0.224,0.469,0.16,3.3,21.0
S98_01796,Nilphamari,Domar,95.23999999999998,24.0,-0.5819729338853521,0.1,7.151912109505527,0.25,0.356,6.2,0.24,0.7,13.0
S98_01797,Nilphamari,Nilphamari Sadar,106.51,18.0,-0.2649775088622785,0.1,7.0196555285864175,1.9,0.837,1.48,0.33,0.8,3.0
S98_01798,Lalmonirhat,Hatibandha,113.77,,-0.0156162498053129,8.3,6.934895093955897,0.25,0.271,0.212,7.58,1.2,12.0
S98_01799,Nilphamari,Jaldhaka,44.5,27.0,-2.7862281198235848,0.1,7.125968233383206,0.25,0.018,0.222,0.35,0.5,11.0
S98_01800,Rangpur,Rangpur Sadar,82.54,18.0,-5.263620637865062,3.3,6.941971182379842,0.25,0.988,0.133,0.71,2.4,96.0
S98_01801,Lalmonirhat,Lalmonirhat Sadar,57.06,14.0,-0.8375875704744328,0.1,7.10793731609398,4.0,9.07,0.691,1.31,1.3,20.0
S98_01802,Kurigram,Nageshwari,260.7,18.0,-0.1409368626940894,2.9,7.084590293901127,0.25,0.182,1.96,0.8,3.0,17.0
S98_01803,Kurigram,Ulipur,119.21,18.0,-1.694162461245446,0.3,7.154162958202826,0.6,2.13,0.242,0.96,2.0,10.0
S98_01804,Gaibandha,Sundarganj,310.50000000000006,18.0,-0.032850253687279,0.6,7.059545871797153,0.25,0.084,0.179,1.06,1.5,
S98_01805,Gaibandha,Gaibandha Sadar,186.3,18.0,-0.1449997289930639,0.1,7.157802928560512,0.25,0.054,0.478,0.34,1.1,7.0
S98_01806,Gaibandha,Gobindaganj,198.32,12.0,-0.5219808146822993,1.5,7.124630291744742,0.25,0.016,0.067,0.48,1.5,7.0
