SAMPLE_ID,DISTRICT,THANA,pH_proxy,TDS_calc,WELL_DEPTH,Ca_num,Mg_num,Na_num,K_num,Cl_num,HCO3_num,SO4_num,NO3-N_num,Ratio_Na_Cl,Ratio_CaMg_HCO3SO4,CAI_1,Facies_Ca-HCO3,Facies_Mixed-Cation-HCO3,Facies_Mixed-Cation-Mixed-Anion,Facies_Mixed-Cation-SO4,Facies_Na-Cl,Facies_Na-HCO3,Facies_Na-Mixed-Anion,IonEx_Direct Ion Exchange (Na matrix -> Ca solution),IonEx_Reverse Ion Exchange (Ca matrix -> Na solution),Gibbs_Rock-Water Interaction Dominance,Gibbs_Evaporation / Crystallization Dominance,HPI,HEI,WQI,Cd
S98_01785,Panchagarh,Tetulia,6.9571861602822676,114.67,9.0,13.6,3.97,21.3,10.9,30.6,34.0,9.7,7.6,1.0734262125902994,1.3242547733456014,-0.3964269544833873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,18.289902215325235,1.077047619047619,34.34489148846914,-4.922952380952381
S98_01786,Panchagarh,Boda,7.120865627475433,72.69,15.0,12.8,4.09,7.1,2.2,10.0,68.0,2.4,0.1,1.0948947368421056,0.8375859710800679,-0.2943847363305704,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,56.37428551533419,24.221619047619047,25.855704411965394,18.221619047619047
S98_01788,Thakurgaon,Baliadangi,7.036825040305283,86.61999999999999,18.0,15.8,4.22,11.7,2.6,14.5,57.0,6.3,3.0,1.2443194192377498,1.06605057765677,-0.4069131492283482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,19.98611517303809,1.5533333333333337,17.17472948528679,-4.446666666666666
S98_01789,Thakurgaon,Thakurgaon Sadar,6.890604631025332,54.06,37.0,9.24,2.42,7.2,4.2,14.2,17.0,4.4,3.9,0.7819125277983694,1.7833401054525893,-0.0501129112335656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.046192565181492,5.569095238095238,18.249796530656223,-0.4309047619047622
S98_01791,Dinajpur,Birganj,7.063949885871145,81.36999999999999,30.0,13.7,6.57,9.9,1.6,16.7,56.0,1.6,3.3,0.914182161991806,1.2872363265927271,-0.0010585907292976,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.09655415957902,2.0966190476190474,13.082604476614115,-3.9033809523809526
S98_01792,Thakurgaon,Ranisankail,6.8681645864556655,99.99,30.0,22.3,7.49,10.1,3.4,20.9,37.0,4.8,12.5,0.7452279022916144,2.448076283765161,0.1072588314489726,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.75793567897182,1.493952380952381,31.66534591709065,-4.506047619047619
S98_01793,Dinajpur,Dinajpur Sadar,7.318286082809514,76.11999999999999,18.0,4.55,2.07,23.0,2.6,6.6,60.0,4.5,2.8,5.374003189792666,0.3689672932348052,-4.731216687499283,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,12.057443273946305,0.4495238095238095,13.245176427613416,-5.55047619047619
S98_01794,Dinajpur,Parbatipur,7.109518300441805,168.1,20.0,23.8,10.2,23.8,2.5,32.3,120.0,15.4,0.1,1.1362880886426596,0.886193645709257,-0.2064717360844218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,44.30802371502183,12.173238095238094,22.569320875932803,6.173238095238095
S98_01795,Dinajpur,Hakimpur,7.100647031158575,129.91,21.0,21.9,9.01,14.5,1.6,21.2,106.0,7.3,1.4,1.0547418073485604,0.9709102501372006,-0.1231774847030936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26.612879127000703,5.596809523809524,16.498302834940823,-0.4031904761904757
S98_01796,Nilphamari,Domar,7.151912109505527,95.23999999999998,24.0,15.5,3.74,12.1,2.8,13.4,95.0,0.1,0.1,1.392498036135114,0.6935292738104163,-0.5819729338853521,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,275.9347608105285,63.25,112.92654242854064,57.25
S98_01797,Nilphamari,Nilphamari Sadar,7.0196555285864175,106.51,18.0,13.8,4.31,25.4,2.7,32.9,46.0,4.3,0.1,1.1905615101583749,1.2369955229567342,-0.2649775088622785,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,78.86015398848069,17.82542857142857,35.456162886301406,11.825428571428573
S98_01798,Lalmonirhat,Hatibandha,6.934895093955897,113.77,,16.4,2.67,14.0,13.6,33.4,37.0,6.9,8.3,0.646391427670974,1.3840413031741463,-0.0156162498053129,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.078424701821405,3.827476190476191,49.26741466115476,-2.1725238095238093
S98_01799,Nilphamari,Jaldhaka,7.125968233383206,44.5,27.0,8.09,1.01,6.2,2.4,3.1,44.0,1.6,0.1,3.08421052631579,0.6452820102969412,-2.7862281198235848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.50404269499736,2.350809523809524,8.423921462136386,-3.649190476190476
S98_01800,Rangpur,Rangpur Sadar,6.941971182379842,82.54,18.0,13.3,2.24,10.1,7.0,3.5,31.0,27.6,3.3,4.450075187969926,0.783251697085515,-5.263620637865062,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.08132541506262,4.785619047619048,20.78446724119948,-1.214380952380952
S98_01801,Lalmonirhat,Lalmonirhat Sadar,7.10793731609398,57.06,14.0,9.19,2.27,7.3,4.0,8.1,46.0,3.1,0.1,1.3897985705003253,0.7885681454273349,-0.8375875704744328,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,97.9350622220896,37.69957142857143,44.03481906351704,31.69957142857143
S98_01802,Kurigram,Nageshwari,7.084590293901127,260.7,18.0,41.6,14.0,33.3,9.3,52.4,187.0,13.7,2.9,0.9800020088388912,0.9635732055793162,-0.1409368626940894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,91.74563351139496,20.36019047619048,55.24048090703036,14.360190476190478
S98_01803,Kurigram,Ulipur,7.154162958202826,119.21,18.0,19.7,9.61,12.1,2.3,7.7,122.0,6.5,0.3,2.423308270676692,0.8309258180142793,-1.694162461245446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.02161608324132,9.70790476190476,15.941538124598818,3.7079047619047616
S98_01804,Gaibandha,Sundarganj,7.059545871797153,310.50000000000006,18.0,36.2,12.2,56.5,14.4,97.0,145.0,21.1,0.6,0.8982365708084648,0.9981004633998284,-0.032850253687279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,14.143066041958877,2.2224285714285714,26.81887232083412,-3.7775714285714286
S98_01805,Gaibandha,Gaibandha Sadar,7.157802928560512,186.3,18.0,28.9,17.1,18.5,2.0,26.5,182.0,2.2,0.1,1.0765640516385304,0.9407906089830346,-0.1449997289930639,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,23.91958677768162,5.03704761904762,14.654002507378088,-0.9629523809523808
S98_01806,Gaibandha,Gobindaganj,7.124630291744742,198.32,12.0,25.9,9.42,26.5,16.7,36.8,140.0,11.5,1.5,1.1104834096109846,0.8159822925441236,-0.5219808146822993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.35425607050842,0.8200952380952381,27.14668141732797,-5.179904761904762
S98_01807,Jaipurhat,Jaipurhat Sadar,7.171164337036164,131.79999999999998,15.0,21.8,11.8,12.6,1.3,8.5,146.0,2.7,0.1,2.2859442724458208,0.8406889147205349,-1.4246271597907434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,31.84045977697534,9.01452380952381,16.16399109161694,3.01452380952381
S98_01808,Bogra,Adamdighi,7.059765850081552,431.0,18.0,62.6,24.7,68.1,0.9,97.2,251.0,48.8,3.2,1.0804256010396365,1.0052059954989925,-0.0888216447891506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,22.75901797527032,4.6684761904761904,20.614901244131875,-1.33152380952381
S98_01809,Bogra,Bogra Sadar,7.237519813367136,91.58,18.0,11.0,6.48,15.2,0.7,4.9,100.0,3.2,0.1,4.783673469387756,0.6344932272139513,-3.913212430094551,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,70.97190903936254,15.481714285714286,29.999659370596177,9.481714285714286
S98_01810,Naogaon,Patnitala,7.26090532023325,61.17000000000001,15.0,6.42,3.35,13.4,0.4,2.8,65.0,2.2,0.1,7.380075187969927,0.5364406616980449,-6.509614148676723,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.396267669382356,1.6813333333333331,5.005176928445762,-4.318666666666666
S98_01811,Naogaon,Manda,7.2369101342367665,85.39999999999999,30.0,10.7,5.1,16.4,0.5,3.4,97.0,0.7,0.1,7.438390092879258,0.5944106017216162,-6.571739023018607,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,22.84316651247924,5.204952380952381,10.744234303156118,-0.7950476190476189
S98_01813,Nawabganj,Gomastapur,7.152741341350014,298.90000000000003,30.0,56.4,13.7,44.2,0.9,3.9,347.0,6.2,0.1,17.477192982456145,0.6777460752187573,-16.686448226674816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.965851960169909,5.036333333333333,10.883482443528855,-0.9636666666666662
S98_01815,Nawabganj,Shibganj (N),7.044490852855961,556.9,61.0,137.0,42.2,63.7,2.4,9.1,512.0,46.4,0.1,10.794736842105266,1.1017280661032438,-10.03388569264089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.133425845792665,6.855238095238096,24.9445029215986,0.8552380952380955
S98_01817,Rajshahi,Godagari,7.16426942303212,214.71,30.0,37.3,9.71,33.9,0.6,6.9,242.0,5.2,0.1,7.5764302059496575,0.6529446679386015,-6.655280008119012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.528199389218816,1.7027619047619047,6.83962772028927,-4.297238095238095
