track,target,model,rank,feature,importance_pct,mse_increase
Track 1 (Heavy Metals),As_num,RBF,1,SO4_num,32.13,0.2789
Track 1 (Heavy Metals),As_num,RBF,2,Na_num,22.2,0.1926
Track 1 (Heavy Metals),As_num,RBF,3,WELL_DEPTH,18.1,0.1571
Track 1 (Heavy Metals),As_num,RBF,4,pH_proxy,6.33,0.0549
Track 1 (Heavy Metals),As_num,RBF,5,Ratio_Na_Cl,6.31,0.0548
Track 1 (Heavy Metals),As_num,RBF,6,CAI_1,5.92,0.0514
Track 1 (Heavy Metals),As_num,RBF,7,HCO3_num,3.85,0.0334
Track 1 (Heavy Metals),As_num,RBF,8,NO3-N_num,2.41,0.0209
Track 1 (Heavy Metals),As_num,RBF,9,K_num,2.08,0.018
Track 1 (Heavy Metals),As_num,RBF,10,Facies_Na-Cl,0.36,0.0031
Track 1 (Heavy Metals),Fe_num,RBF,1,WELL_DEPTH,17.89,0.2093
Track 1 (Heavy Metals),Fe_num,RBF,2,Ca_num,14.87,0.174
Track 1 (Heavy Metals),Fe_num,RBF,3,pH_proxy,10.05,0.1176
Track 1 (Heavy Metals),Fe_num,RBF,4,Na_num,9.99,0.1169
Track 1 (Heavy Metals),Fe_num,RBF,5,HCO3_num,7.96,0.0932
Track 1 (Heavy Metals),Fe_num,RBF,6,Facies_Ca-HCO3,6.06,0.071
Track 1 (Heavy Metals),Fe_num,RBF,7,TDS_calc,5.3,0.062
Track 1 (Heavy Metals),Fe_num,RBF,8,NO3-N_num,4.53,0.053
Track 1 (Heavy Metals),Fe_num,RBF,9,CAI_1,4.37,0.0511
Track 1 (Heavy Metals),Fe_num,RBF,10,Ratio_Na_Cl,3.97,0.0465
Track 1 (Heavy Metals),Mn_num,RBF,1,SO4_num,12.3,0.1248
Track 1 (Heavy Metals),Mn_num,RBF,2,CAI_1,11.31,0.1147
Track 1 (Heavy Metals),Mn_num,RBF,3,Cl_num,10.08,0.1022
Track 1 (Heavy Metals),Mn_num,RBF,4,WELL_DEPTH,8.84,0.0897
Track 1 (Heavy Metals),Mn_num,RBF,5,Ratio_Na_Cl,8.59,0.0871
Track 1 (Heavy Metals),Mn_num,RBF,6,K_num,6.88,0.0698
Track 1 (Heavy Metals),Mn_num,RBF,7,NO3-N_num,5.95,0.0604
Track 1 (Heavy Metals),Mn_num,RBF,8,HCO3_num,5.57,0.0565
Track 1 (Heavy Metals),Mn_num,RBF,9,Mg_num,5.38,0.0545
Track 1 (Heavy Metals),Mn_num,RBF,10,TDS_calc,4.84,0.0491
Track 2 (Risk Indices),HPI,RBF,1,SO4_num,21.94,1.6994
Track 2 (Risk Indices),HPI,RBF,2,NO3-N_num,21.41,1.6582
Track 2 (Risk Indices),HPI,RBF,3,Na_num,20.05,1.553
Track 2 (Risk Indices),HPI,RBF,4,WELL_DEPTH,9.36,0.7251
Track 2 (Risk Indices),HPI,RBF,5,pH_proxy,8.29,0.642
Track 2 (Risk Indices),HPI,RBF,6,K_num,7.83,0.6062
Track 2 (Risk Indices),HPI,RBF,7,Ratio_CaMg_HCO3SO4,4.74,0.3667
Track 2 (Risk Indices),HPI,RBF,8,Ratio_Na_Cl,2.26,0.1749
Track 2 (Risk Indices),HPI,RBF,9,Facies_Mixed-Cation-Mixed-Anion,0.84,0.0651
Track 2 (Risk Indices),HPI,RBF,10,Facies_Na-HCO3,0.76,0.059
Track 2 (Risk Indices),HEI,RBF,1,WELL_DEPTH,23.69,0.006
Track 2 (Risk Indices),HEI,RBF,2,Na_num,17.97,0.0045
Track 2 (Risk Indices),HEI,RBF,3,SO4_num,14.74,0.0037
Track 2 (Risk Indices),HEI,RBF,4,pH_proxy,13.02,0.0033
Track 2 (Risk Indices),HEI,RBF,5,NO3-N_num,8.55,0.0022
Track 2 (Risk Indices),HEI,RBF,6,K_num,8.44,0.0021
Track 2 (Risk Indices),HEI,RBF,7,Ratio_CaMg_HCO3SO4,6.61,0.0017
Track 2 (Risk Indices),HEI,RBF,8,Ratio_Na_Cl,1.58,0.0004
Track 2 (Risk Indices),HEI,RBF,9,CAI_1,1.57,0.0004
Track 2 (Risk Indices),HEI,RBF,10,Facies_Mixed-Cation-HCO3,1.37,0.0003
Track 2 (Risk Indices),WQI,ElasticNet,1,K_num,47.32,28.0412
Track 2 (Risk Indices),WQI,ElasticNet,2,NO3-N_num,38.97,23.093
Track 2 (Risk Indices),WQI,ElasticNet,3,SO4_num,5.03,2.9786
Track 2 (Risk Indices),WQI,ElasticNet,4,pH_proxy,3.05,1.8054
Track 2 (Risk Indices),WQI,ElasticNet,5,Ratio_CaMg_HCO3SO4,2.28,1.3511
Track 2 (Risk Indices),WQI,ElasticNet,6,Na_num,1.88,1.1136
Track 2 (Risk Indices),WQI,ElasticNet,7,Facies_Mixed-Cation-HCO3,1.22,0.7256
Track 2 (Risk Indices),WQI,ElasticNet,8,Facies_Mixed-Cation-Mixed-Anion,0.24,0.1416
Track 2 (Risk Indices),WQI,ElasticNet,9,WELL_DEPTH,0.01,0.0054
Track 2 (Risk Indices),WQI,ElasticNet,10,Ca_num,0.0,0.0
