target,feature,selection_count,selection_frequency_pct,stability_status
As_num,Depth_x_pH,13,52.0,Moderate (20-80%)
As_num,NO3-N_num,25,100.0,Consistent (>80%)
As_num,Ratio_Ca_Mg_meq,22,88.0,Consistent (>80%)
As_num,Ratio_Na_CaMg_meq,24,96.0,Consistent (>80%)
As_num,Depth_x_TDS,11,44.0,Moderate (20-80%)
As_num,CAI_1,21,84.0,Consistent (>80%)
As_num,Ratio_Ca_HCO3_meq,12,48.0,Moderate (20-80%)
As_num,pH_proxy,8,32.0,Moderate (20-80%)
As_num,TDS_calc,10,40.0,Moderate (20-80%)
As_num,WELL_DEPTH,8,32.0,Moderate (20-80%)
As_num,CAI_2,18,72.0,Moderate (20-80%)
As_num,TDS_log,10,40.0,Moderate (20-80%)
Fe_num,Depth_x_pH,21,84.0,Consistent (>80%)
Fe_num,NO3-N_num,25,100.0,Consistent (>80%)
Fe_num,CAI_2,22,88.0,Consistent (>80%)
Fe_num,TDS_log,10,40.0,Moderate (20-80%)
Fe_num,Ratio_Ca_Mg_meq,23,92.0,Consistent (>80%)
Fe_num,Ratio_Na_CaMg_meq,22,88.0,Consistent (>80%)
Fe_num,TDS_calc,23,92.0,Consistent (>80%)
Fe_num,CAI_1,18,72.0,Moderate (20-80%)
Fe_num,Ratio_Ca_HCO3_meq,6,24.0,Moderate (20-80%)
Fe_num,pH_proxy,5,20.0,Moderate (20-80%)
Fe_num,WELL_DEPTH,10,40.0,Moderate (20-80%)
Fe_num,Depth_x_TDS,1,4.0,Unstable (<20%)
Mn_num,Depth_x_pH,11,44.0,Moderate (20-80%)
Mn_num,NO3-N_num,25,100.0,Consistent (>80%)
Mn_num,CAI_2,22,88.0,Consistent (>80%)
Mn_num,Ratio_Ca_Mg_meq,8,32.0,Moderate (20-80%)
Mn_num,Ratio_Na_CaMg_meq,17,68.0,Moderate (20-80%)
Mn_num,Depth_x_TDS,10,40.0,Moderate (20-80%)
Mn_num,CAI_1,19,76.0,Moderate (20-80%)
Mn_num,Ratio_Ca_HCO3_meq,8,32.0,Moderate (20-80%)
Mn_num,TDS_log,22,88.0,Consistent (>80%)
Mn_num,TDS_calc,4,16.0,Unstable (<20%)
Mn_num,WELL_DEPTH,3,12.0,Unstable (<20%)
Mn_num,pH_proxy,3,12.0,Unstable (<20%)
Pb_num,NO3-N_num,25,100.0,Consistent (>80%)
Pb_num,Ratio_Ca_Mg_meq,20,80.0,Consistent (>80%)
Pb_num,Ratio_Na_CaMg_meq,22,88.0,Consistent (>80%)
Pb_num,TDS_calc,21,84.0,Consistent (>80%)
Pb_num,CAI_1,25,100.0,Consistent (>80%)
Pb_num,Ratio_Ca_HCO3_meq,4,16.0,Unstable (<20%)
Pb_num,WELL_DEPTH,22,88.0,Consistent (>80%)
Pb_num,Depth_x_pH,18,72.0,Moderate (20-80%)
Pb_num,TDS_log,2,8.0,Unstable (<20%)
Pb_num,pH_proxy,2,8.0,Unstable (<20%)
Pb_num,Depth_x_TDS,1,4.0,Unstable (<20%)
Pb_num,CAI_2,2,8.0,Unstable (<20%)
Ni_num,Depth_x_pH,14,56.0,Moderate (20-80%)
Ni_num,Ratio_Na_CaMg_meq,16,64.0,Moderate (20-80%)
Ni_num,TDS_calc,25,100.0,Consistent (>80%)
Ni_num,Depth_x_TDS,5,20.0,Moderate (20-80%)
Ni_num,CAI_1,23,92.0,Consistent (>80%)
Ni_num,TDS_log,18,72.0,Moderate (20-80%)
Ni_num,Ratio_Ca_Mg_meq,17,68.0,Moderate (20-80%)
Ni_num,NO3-N_num,6,24.0,Moderate (20-80%)
Ni_num,pH_proxy,5,20.0,Moderate (20-80%)
Ni_num,Ratio_Ca_HCO3_meq,5,20.0,Moderate (20-80%)
Ni_num,CAI_2,2,8.0,Unstable (<20%)
Ni_num,WELL_DEPTH,1,4.0,Unstable (<20%)
Zn_num,NO3-N_num,21,84.0,Consistent (>80%)
Zn_num,pH_proxy,15,60.0,Moderate (20-80%)
Zn_num,TDS_log,10,40.0,Moderate (20-80%)
Zn_num,Ratio_Ca_Mg_meq,12,48.0,Moderate (20-80%)
Zn_num,Ratio_Na_CaMg_meq,21,84.0,Consistent (>80%)
Zn_num,CAI_1,23,92.0,Consistent (>80%)
Zn_num,WELL_DEPTH,14,56.0,Moderate (20-80%)
Zn_num,CAI_2,17,68.0,Moderate (20-80%)
Zn_num,Depth_x_TDS,13,52.0,Moderate (20-80%)
Zn_num,Ratio_Ca_HCO3_meq,5,20.0,Moderate (20-80%)
Zn_num,Depth_x_pH,10,40.0,Moderate (20-80%)
Zn_num,TDS_calc,4,16.0,Unstable (<20%)
HPI,Depth_x_pH,10,40.0,Moderate (20-80%)
HPI,NO3-N_num,25,100.0,Consistent (>80%)
HPI,CAI_2,24,96.0,Consistent (>80%)
HPI,Ratio_Ca_Mg_meq,16,64.0,Moderate (20-80%)
HPI,Ratio_Na_CaMg_meq,23,92.0,Consistent (>80%)
HPI,Depth_x_TDS,18,72.0,Moderate (20-80%)
HPI,CAI_1,24,96.0,Consistent (>80%)
HPI,Ratio_Ca_HCO3_meq,12,48.0,Moderate (20-80%)
HPI,pH_proxy,7,28.0,Moderate (20-80%)
HPI,WELL_DEPTH,12,48.0,Moderate (20-80%)
HPI,TDS_log,9,36.0,Moderate (20-80%)
HPI,TDS_calc,3,12.0,Unstable (<20%)
HEI,Depth_x_pH,16,64.0,Moderate (20-80%)
HEI,NO3-N_num,25,100.0,Consistent (>80%)
HEI,CAI_2,23,92.0,Consistent (>80%)
HEI,Ratio_Ca_Mg_meq,17,68.0,Moderate (20-80%)
HEI,Ratio_Na_CaMg_meq,24,96.0,Consistent (>80%)
HEI,TDS_calc,13,52.0,Moderate (20-80%)
HEI,CAI_1,23,92.0,Consistent (>80%)
HEI,Ratio_Ca_HCO3_meq,11,44.0,Moderate (20-80%)
HEI,WELL_DEPTH,8,32.0,Moderate (20-80%)
HEI,pH_proxy,8,32.0,Moderate (20-80%)
HEI,TDS_log,9,36.0,Moderate (20-80%)
HEI,Depth_x_TDS,4,16.0,Unstable (<20%)
WQI,Depth_x_pH,12,48.0,Moderate (20-80%)
WQI,CAI_2,22,88.0,Consistent (>80%)
WQI,TDS_log,24,96.0,Consistent (>80%)
WQI,Ratio_Ca_Mg_meq,12,48.0,Moderate (20-80%)
WQI,Ratio_Na_CaMg_meq,21,84.0,Consistent (>80%)
WQI,CAI_1,25,100.0,Consistent (>80%)
WQI,Ratio_Ca_HCO3_meq,4,16.0,Unstable (<20%)
WQI,pH_proxy,13,52.0,Moderate (20-80%)
WQI,Depth_x_TDS,14,56.0,Moderate (20-80%)
WQI,WELL_DEPTH,9,36.0,Moderate (20-80%)
WQI,NO3-N_num,10,40.0,Moderate (20-80%)
WQI,TDS_calc,2,8.0,Unstable (<20%)
Cd,Depth_x_pH,25,100.0,Consistent (>80%)
Cd,NO3-N_num,25,100.0,Consistent (>80%)
