target,final_selected_model,final_feature_set,authoritative_mean_R2,scientific_status,governance_decision,justification
Ni_num,SVR_RBF (M3_Core_IonRatios),M3_Core_IonRatios,0.1281,NO_MEANINGFUL_IMPROVEMENT,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: +0.1281). Retained Stage 3.3 baseline under strict scientific governance.
Pb_num,SVR_RBF (M2_Core_Salinity),M2_Core_Salinity,-0.36,UNCERTAIN,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.3600). Retained Stage 3.3 baseline under strict scientific governance.
Mn_num,Lasso (M4_Core_IonExchange),M4_Core_IonExchange,-0.2894,NO_MEANINGFUL_IMPROVEMENT,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.2894). Retained Stage 3.3 baseline under strict scientific governance.
As_num,SVR_RBF (M2_Core_Salinity),M2_Core_Salinity,-0.3635,UNCERTAIN,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.3635). Retained Stage 3.3 baseline under strict scientific governance.
Fe_num,SVR_RBF (M5_Core_DepthInteractions),M5_Core_DepthInteractions,-0.5169,UNCERTAIN,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.5169). Retained Stage 3.3 baseline under strict scientific governance.
Zn_num,Lasso (M1_Core),M1_Core,-0.6877,UNCERTAIN,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.6877). Retained Stage 3.3 baseline under strict scientific governance.
HPI,Lasso (M4_Core_IonExchange),M4_Core_IonExchange,-0.1039,NO_MEANINGFUL_IMPROVEMENT,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.1039). Retained Stage 3.3 baseline under strict scientific governance.
HEI,Lasso (M1_Core),M1_Core,-0.2678,UNCERTAIN,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.2678). Retained Stage 3.3 baseline under strict scientific governance.
WQI,Lasso (M4_Core_IonExchange),M4_Core_IonExchange,-0.1587,NO_MEANINGFUL_IMPROVEMENT,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.1587). Retained Stage 3.3 baseline under strict scientific governance.
Cd,SVR_RBF (M4_Core_IonExchange),M4_Core_IonExchange,-0.255,NO_MEANINGFUL_IMPROVEMENT,RETAIN_OFFICIAL_STAGE_3_3_BASELINE,Stage 5 candidate did not achieve genuine improvement (Baseline Mean R2: -0.2550). Retained Stage 3.3 baseline under strict scientific governance.
