target,sample_id,thana,observed_value,upper_3iqr_threshold,bdl_status,unit_correctness,duplicate_status,hydrochemical_plausibility,audit_status,action_taken,justification
Ni_num,S98_01826,Pabna Sadar,8.9,10.0,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (8.90) represents natural hydrogeochemical mineralization spike for Pabna Sadar; retained per protocol.
Pb_num,S98_01788,Baliadangi,2.84,2.59,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (2.84) represents natural hydrogeochemical mineralization spike for Baliadangi; retained per protocol.
Pb_num,S98_01798,Hatibandha,7.58,2.59,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (7.58) represents natural hydrogeochemical mineralization spike for Hatibandha; retained per protocol.
Mn_num,S98_01796,Domar,6.2,2.7248,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (6.20) represents natural hydrogeochemical mineralization spike for Domar; retained per protocol.
As_num,S98_01823,Raiganj,12.3,6.25,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (12.30) represents natural hydrogeochemical mineralization spike for Raiganj; retained per protocol.
As_num,S98_01824,Sirajganj Sadar,15.4,6.25,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (15.40) represents natural hydrogeochemical mineralization spike for Sirajganj Sadar; retained per protocol.
As_num,S98_01828,Bera,28.7,6.25,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (28.70) represents natural hydrogeochemical mineralization spike for Bera; retained per protocol.
As_num,S98_01834,Sherpur,27.8,6.25,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (27.80) represents natural hydrogeochemical mineralization spike for Sherpur; retained per protocol.
Fe_num,S98_01786,Boda,6.21,3.7982,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (6.21) represents natural hydrogeochemical mineralization spike for Boda; retained per protocol.
Fe_num,S98_01801,Lalmonirhat Sadar,9.07,3.7982,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (9.07) represents natural hydrogeochemical mineralization spike for Lalmonirhat Sadar; retained per protocol.
Fe_num,S98_01823,Raiganj,3.99,3.7982,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (3.99) represents natural hydrogeochemical mineralization spike for Raiganj; retained per protocol.
