target,baseline_model,stage5_model,baseline_feature_set,stage5_feature_set,baseline_mean_R2,stage5_mean_R2,delta_R2,baseline_median_R2,stage5_median_R2,delta_median_R2,baseline_RMSE,stage5_RMSE,baseline_MAE,stage5_MAE,baseline_spearman,stage5_spearman,positive_fold_change,complexity_change,scientific_status
Ni_num,SVR_RBF (M3_Core_IonRatios),SVR_RBF (M3_Core_IonRatios),M3_Core_IonRatios,M3_Core_IonRatios,0.1281,0.1281,0.0,0.1825,0.1825,0.0,0.5841,1.5345,0.4215,1.0153,0.5248,0.5983,0,Increased parsimonious features,NO_MEANINGFUL_IMPROVEMENT
Pb_num,SVR_RBF (M2_Core_Salinity),SVR_RBF (M2_Core_Salinity),M2_Core_Salinity,M2_Core_Salinity,-0.36,-0.2198,0.1402,0.1028,0.102,-0.0008,0.7412,0.8857,0.512,0.5349,0.3457,0.3826,-1,Increased parsimonious features,UNCERTAIN
Mn_num,Lasso (M4_Core_IonExchange),Lasso (M4_Core_IonExchange),M4_Core_IonExchange,M4_Core_IonExchange,-0.2894,-0.2894,0.0,-0.0845,-0.0845,0.0,0.8105,0.9176,0.612,0.6147,0.4496,0.2597,-4,Increased parsimonious features,NO_MEANINGFUL_IMPROVEMENT
As_num,SVR_RBF (M2_Core_Salinity),SVR_RBF (M8_Stage5_PlausibleInteractions),M2_Core_Salinity,M8_Stage5_PlausibleInteractions,-0.3635,-0.2644,0.0991,-0.1821,-0.1817,0.0004,0.8912,5.6691,0.685,2.6921,0.197,0.0639,-3,Increased parsimonious features,UNCERTAIN
Fe_num,SVR_RBF (M5_Core_DepthInteractions),SVR_RBF (M3_Core_IonRatios),M5_Core_DepthInteractions,M3_Core_IonRatios,-0.5169,-0.472,0.0449,-0.1786,-0.1763,0.0023,0.925,2.7333,0.711,1.4113,0.2209,0.0789,0,Increased parsimonious features,UNCERTAIN
Zn_num,Lasso (M1_Core),SVR_RBF (M7_Stage5_AdvancedRatios),M1_Core,M7_Stage5_AdvancedRatios,-0.6877,-0.5705,0.1172,-0.1325,-0.3002,-0.1677,1.052,21.6939,0.824,13.91,-0.1162,-0.2853,0,Increased parsimonious features,UNCERTAIN
HPI,Lasso (M4_Core_IonExchange),Lasso (M4_Core_IonExchange),M4_Core_IonExchange,M4_Core_IonExchange,-0.1039,-0.1039,0.0,-0.0531,-0.0531,0.0,0.652,61.7205,0.485,40.1888,0.4295,0.3559,-4,Increased parsimonious features,NO_MEANINGFUL_IMPROVEMENT
HEI,Lasso (M1_Core),SVR_RBF (M4_Core_IonExchange),M1_Core,M4_Core_IonExchange,-0.2678,-0.255,0.0128,-0.0981,-0.1309,-0.0328,0.715,15.6983,0.532,9.561,0.459,0.1796,-4,Increased parsimonious features,UNCERTAIN
WQI,Lasso (M4_Core_IonExchange),Lasso (M4_Core_IonExchange),M4_Core_IonExchange,M4_Core_IonExchange,-0.1587,-0.1587,0.0,-0.0913,-0.0913,0.0,0.682,24.5197,0.495,17.3296,0.2686,0.222,0,Increased parsimonious features,NO_MEANINGFUL_IMPROVEMENT
Cd,SVR_RBF (M4_Core_IonExchange),SVR_RBF (M4_Core_IonExchange),M4_Core_IonExchange,M4_Core_IonExchange,-0.255,-0.255,0.0,-0.1309,-0.1309,0.0,0.085,15.6983,0.062,9.561,0.2762,0.1796,-3,Increased parsimonious features,NO_MEANINGFUL_IMPROVEMENT
