variable_name,classification,is_easy_field_input,scientific_rationale
WELL_TYPE,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
WELL_DEPTH,A. EASY FIELD INPUT,YES,Basic physical hydrogeochemical parameter directly measurable at borehole head.
DISTRICT,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
THANA,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
UNION,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
MOUZA,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
GEOCODE,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
SAMPLE_ID,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Ca,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Mg,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Na,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
K,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
P,C. DIFFICULT LABORATORY VARIABLE,NO,Trace nutrient / heavy metal; high cost analytical requirement.
Cl,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
HCO3,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
SO4,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
NH4-N,C. DIFFICULT LABORATORY VARIABLE,NO,Trace nutrient / heavy metal; high cost analytical requirement.
NO2-N,C. DIFFICULT LABORATORY VARIABLE,NO,Trace nutrient / heavy metal; high cost analytical requirement.
NO3-N,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Pb,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Ni,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Zn,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
As,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Cd,E. TARGET / RISK INDEX,NO,Primary water quality or heavy metal screening target.
Cr,C. DIFFICULT LABORATORY VARIABLE,NO,Trace nutrient / heavy metal; high cost analytical requirement.
Cu,C. DIFFICULT LABORATORY VARIABLE,NO,Trace nutrient / heavy metal; high cost analytical requirement.
Fe,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Mn,F. UNSUITABLE / LEAKAGE-RISK VARIABLE,NO,Metadata or centroid coordinate; spatial leakage risk.
Ca_num,B. MODERATELY ACCESSIBLE LABORATORY ION,NO,Major dissolved ion composition; requires lab equipment.
Mg_num,B. MODERATELY ACCESSIBLE LABORATORY ION,NO,Major dissolved ion composition; requires lab equipment.
Na_num,B. MODERATELY ACCESSIBLE LABORATORY ION,NO,Major dissolved ion composition; requires lab equipment.
