,PC1,PC2,PC3,PC4,Explained_Variance_Ratio
pH_proxy,-0.11865638940188998,-0.447601794507722,-0.35209211701606474,-0.1579042075441131,
TDS_calc,0.4213210816230571,0.05855961701129563,0.02535241147375353,-0.0263546364235419,
Ca_num,0.4053833174808486,0.05765668375694625,0.04381509992758095,0.01274172737305296,
Mg_num,0.4115106352800813,-0.014687801897875021,0.04426189684853119,-0.05964341977151927,
Na_num,0.338196627116871,0.12087761113492927,-0.116193893279677,-0.060344424596851694,
Cl_num,0.24802011501440244,0.21037755360359628,0.2595836073048936,0.20871519056197352,
HCO3_num,0.38703966165001524,-0.08793166652776924,-0.07239246821336638,-0.1287779642261313,
NO3-N_num,-0.15548789681504485,0.4933377702692274,0.2776333314660921,-0.02067666728500401,
Ni_num,0.28675673832595905,0.07915050128034383,-0.11811204658568918,-0.213796640149537,
Fe_num,-0.031820327551661254,-0.3737585198236372,0.5126694419754216,-0.28550812783668916,
Mn_num,0.0915973942334374,-0.28370256865163007,0.19170702628310285,0.8457690313247523,
As_num,0.07124670207042097,-0.3529990599888005,0.5554365388941038,-0.22869555380534995,
Pb_num,-0.16780140999251594,0.3628269805428445,0.2937042163681002,-0.10764028600148268,
Explained_Variance_Ratio,0.42138348820716154,0.17259659958179008,0.12720200346063248,0.06760719374759555,
