input_variable,target_variable,effective_N,spearman_rho,mutual_information,nonlinear_potential
TDS_calc,Ni_num,40,0.7067,0.4429,MODERATE
TDS_calc,Pb_num,40,-0.4532,0.01,LOW
TDS_calc,Cd_num,40,-0.396,0.0724,MODERATE
TDS_calc,Mn_num,40,0.4488,0.0,LOW
TDS_calc,Fe_num,40,-0.3297,0.047,LOW
TDS_calc,As_num,40,0.2093,0.0,LOW
TDS_calc,Zn_num,35,0.0073,0.0132,LOW
TDS_calc,WQI,40,0.3058,0.0296,LOW
TDS_calc,HPI,40,0.2974,0.0,LOW
TDS_calc,HEI,40,0.2206,0.0,LOW
pH_proxy,Ni_num,40,-0.2669,0.0581,MODERATE
pH_proxy,Pb_num,40,-0.1442,0.0,LOW
pH_proxy,Cd_num,40,-0.2587,0.0287,LOW
pH_proxy,Mn_num,40,-0.022,0.0,LOW
pH_proxy,Fe_num,40,0.0725,0.0229,LOW
pH_proxy,As_num,40,-0.0541,0.0263,LOW
pH_proxy,Zn_num,35,-0.0077,0.1935,HIGH
pH_proxy,WQI,40,-0.3623,0.1228,MODERATE
pH_proxy,HPI,40,-0.067,0.0,LOW
pH_proxy,HEI,40,0.0377,0.0215,LOW
NO3-N_num,Ni_num,40,-0.1275,0.0,LOW
NO3-N_num,Pb_num,40,0.5942,0.1873,MODERATE
NO3-N_num,Cd_num,40,0.687,0.3871,MODERATE
NO3-N_num,Mn_num,40,-0.5547,0.0794,MODERATE
NO3-N_num,Fe_num,40,0.0464,0.0,LOW
NO3-N_num,As_num,40,-0.3319,0.046,LOW
NO3-N_num,Zn_num,35,0.035,0.0,LOW
NO3-N_num,WQI,40,-0.0158,0.041,LOW
NO3-N_num,HPI,40,-0.4245,0.079,MODERATE
NO3-N_num,HEI,40,-0.5199,0.1421,MODERATE
WELL_DEPTH,Ni_num,39,0.255,0.0,LOW
WELL_DEPTH,Pb_num,39,-0.2044,0.0,LOW
WELL_DEPTH,Cd_num,39,-0.2795,0.0624,MODERATE
WELL_DEPTH,Mn_num,39,0.094,0.0433,LOW
WELL_DEPTH,Fe_num,39,-0.0502,0.0857,MODERATE
WELL_DEPTH,As_num,39,0.0515,0.0,LOW
WELL_DEPTH,Zn_num,34,-0.0053,0.0,LOW
WELL_DEPTH,WQI,39,-0.1134,0.0542,MODERATE
WELL_DEPTH,HPI,39,-0.0201,0.0889,MODERATE
WELL_DEPTH,HEI,39,0.015,0.0378,LOW
