target_variable,best_easy_inputs,bivariate_association_input,bivariate_spearman_rho,bivariate_fdr_p_value,best_model_architecture,oof_mean_r2,oof_median_r2,oof_prediction_spearman_rho,positive_fold_pct,consistency_category,category_description,screening_status
Ni_num,pH_proxy+TDS_calc,TDS_calc,0.7067,0.0,HuberRegressor,0.1155,0.2924,0.6161,68.0,CATEGORY_A,Category A: True Screening Candidate (Strong Relationship + Positive Predictive R2),FEASIBLE_FOR_FIELD_SCREENING
Pb_num,pH_proxy+TDS_calc,NO3-N_num,0.5942,0.0007,HuberRegressor,-0.0456,0.0427,0.4196,52.0,CATEGORY_B,Category B: Association Only (Strong Relationship BUT Poor Predictive R2),ASSOCIATION_ONLY_MANDATORY_LAB_TESTING
Cd_num,pH_proxy+TDS_calc+NO3-N_num+WELL_DEPTH,NO3-N_num,0.687,0.0,Ridge,0.4941,0.5094,0.6553,96.0,CATEGORY_A,Category A: True Screening Candidate (Strong Relationship + Positive Predictive R2),FEASIBLE_FOR_FIELD_SCREENING
Mn_num,pH_proxy+TDS_calc+NO3-N_num,NO3-N_num,-0.5547,0.002,HuberRegressor,-0.0995,-0.0963,0.5259,36.0,CATEGORY_B,Category B: Association Only (Strong Relationship BUT Poor Predictive R2),ASSOCIATION_ONLY_MANDATORY_LAB_TESTING
Fe_num,pH_proxy+TDS_calc+NO3-N_num,TDS_calc,-0.3297,0.1259,SVR_RBF,0.0224,-0.0331,0.4358,40.0,CATEGORY_D,Category D: Possible Nonlinear Screening Signal (Weak Simple Relationship BUT Positive Predictive R2),POTENTIAL_NONLINEAR_SCREENING_CANDIDATE
As_num,pH_proxy+TDS_calc+WELL_DEPTH,NO3-N_num,-0.3319,0.1259,SVR_RBF,-0.3218,-0.1882,0.3101,20.0,CATEGORY_C,Category C: No Screening Signal (Weak Relationship + Poor Predictive R2),MANDATORY_LABORATORY_TESTING_REQUIRED
Zn_num,pH_proxy+TDS_calc,NO3-N_num,0.035,0.9763,Lasso,-0.2513,-0.1413,-0.5533,0.0,CATEGORY_C,Category C: No Screening Signal (Weak Relationship + Poor Predictive R2),MANDATORY_LABORATORY_TESTING_REQUIRED
WQI,pH_proxy+TDS_calc+WELL_DEPTH,pH_proxy,-0.3623,0.0864,HuberRegressor,-0.1364,-0.1713,0.3227,24.0,CATEGORY_C,Category C: No Screening Signal (Weak Relationship + Poor Predictive R2),MANDATORY_LABORATORY_TESTING_REQUIRED
HPI,pH_proxy+TDS_calc+NO3-N_num,NO3-N_num,-0.4245,0.0316,Ridge,-0.1192,-0.083,0.3927,28.0,CATEGORY_B,Category B: Association Only (Strong Relationship BUT Poor Predictive R2),ASSOCIATION_ONLY_MANDATORY_LAB_TESTING
HEI,pH_proxy+TDS_calc+NO3-N_num,NO3-N_num,-0.5199,0.0047,ElasticNet,-0.105,-0.092,0.3854,32.0,CATEGORY_B,Category B: Association Only (Strong Relationship BUT Poor Predictive R2),ASSOCIATION_ONLY_MANDATORY_LAB_TESTING
