variable,N,missing_count,missing_pct,unique_count,min,max,mean,median,SD,IQR,skewness
WELL_TYPE,40,2,5.0,3,,,,,,,
WELL_DEPTH,40,1,2.5,13,9.0,61.0,22.6154,18.0,9.4496,10.5,1.8937
DISTRICT,40,0,0.0,16,,,,,,,
THANA,40,0,0.0,40,,,,,,,
UNION,40,0,0.0,40,,,,,,,
MOUZA,40,1,2.5,39,,,,,,,
GEOCODE,40,0,0.0,40,51006.0,59494.0,56083.0,57014.0,2516.9705,4033.25,-0.6215
SAMPLE_ID,40,0,0.0,40,,,,,,,
Ca,40,0,0.0,40,4.55,177.0,49.1547,22.45,50.8946,56.15,1.1858
Mg,40,0,0.0,40,1.01,42.6,15.0462,9.955,13.2241,20.7375,0.8713
Na,40,0,0.0,38,4.6,68.1,24.56,19.9,16.6345,22.95,0.9841
K,40,0,0.0,28,0.4,16.7,3.505,2.3,3.9345,1.875,2.1361
P,40,0,0.0,5,,,,,,,
Cl,40,0,0.0,39,2.8,126.0,27.4475,13.8,32.9667,26.825,1.7345
HCO3,40,0,0.0,36,17.0,626.0,194.425,137.5,162.5543,291.25,0.8907
SO4,40,0,0.0,35,,,,,,,
NH4-N,40,0,0.0,4,,,,,,,
NO2-N,40,0,0.0,13,,,,,,,
NO3-N,40,0,0.0,15,,,,,,,
Pb,40,0,0.0,32,0.16,7.58,0.83,0.43,1.2694,0.59,4.0709
Ni,40,0,0.0,28,0.5,8.9,2.515,1.65,2.036,2.225,1.6533
Zn,40,5,12.5,24,3.0,96.0,23.9143,16.0,23.2788,11.5,2.0003
As,40,0,0.0,17,,,,,,,
Cd,40,0,0.0,40,-5.5505,84.8971,6.9843,0.1737,17.7997,11.9493,2.8254
Cr,40,0,0.0,4,,,,,,,
Cu,40,0,0.0,4,,,,,,,
Fe,40,0,0.0,39,0.014,19.6,1.383,0.178,3.4812,0.9398,4.054
Mn,40,0,0.0,40,0.008,6.2,0.795,0.485,1.1057,0.6462,3.2029
Ca_num,40,0,0.0,40,4.55,177.0,49.1547,22.45,50.8946,56.15,1.1858
Mg_num,40,0,0.0,40,1.01,42.6,15.0462,9.955,13.2241,20.7375,0.8713
Na_num,40,0,0.0,38,4.6,68.1,24.56,19.9,16.6345,22.95,0.9841
K_num,40,0,0.0,28,0.4,16.7,3.505,2.3,3.9345,1.875,2.1361
Cl_num,40,0,0.0,39,2.8,126.0,27.4475,13.8,32.9667,26.825,1.7345
HCO3_num,40,0,0.0,36,17.0,626.0,194.425,137.5,162.5543,291.25,0.8907
SO4_num,40,0,0.0,35,0.1,48.8,8.505,4.45,11.5854,8.4,2.2383
NO3-N_num,40,0,0.0,15,0.1,12.5,1.445,0.1,2.6663,1.725,2.5828
Fe_num,40,0,0.0,39,0.014,19.6,1.383,0.178,3.4812,0.9398,4.054
Mn_num,40,0,0.0,40,0.008,6.2,0.795,0.485,1.1057,0.6462,3.2029
As_num,40,0,0.0,17,0.25,28.7,2.98,0.6,6.6275,1.5,3.0844
Pb_num,40,0,0.0,32,0.16,7.58,0.83,0.43,1.2694,0.59,4.0709
Ni_num,40,0,0.0,28,0.5,8.9,2.515,1.65,2.036,2.225,1.6533
Zn_num,40,5,12.5,24,3.0,96.0,23.9143,16.0,23.2788,11.5,2.0003
Cd_num,40,0,0.0,19,0.01,0.66,0.105,0.07,0.123,0.095,2.738
Cr_num,40,0,0.0,4,0.25,2.6,0.3288,0.25,0.3789,0.0,5.6179
Cu_num,40,0,0.0,4,0.5,4.0,0.7375,0.5,0.6096,0.5,4.185
TDS_calc,40,0,0.0,40,44.5,593.4,226.876,130.855,172.5949,297.21,0.8283
Ca_meq,40,0,0.0,40,0.2271,8.8328,2.453,1.1203,2.5398,2.802,1.1858
Mg_meq,40,0,0.0,40,0.0831,3.5055,1.2381,0.8192,1.0882,1.7064,0.8713
Na_meq,40,0,0.0,38,0.2001,2.9622,1.0683,0.8656,0.7236,0.9983,0.9841
K_meq,40,0,0.0,28,0.0102,0.4271,0.0896,0.0588,0.1006,0.048,2.1361
Cl_meq,40,0,0.0,39,0.079,3.554,0.7742,0.3892,0.9299,0.7566,1.7345
HCO3_meq,40,0,0.0,36,0.2786,10.2596,3.1865,2.2535,2.6641,4.7733,0.8907
SO4_meq,40,0,0.0,35,0.0021,1.016,0.1771,0.0927,0.2412,0.1749,2.2383
NO3_meq,40,0,0.0,15,0.0071,0.8924,0.1032,0.0071,0.1904,0.1232,2.5828
Cat_sum,40,0,0.0,40,0.8179,14.0998,4.849,2.573,4.0866,6.6373,0.9772
An_sum,40,0,0.0,40,0.849,10.5761,4.2409,2.6415,3.0612,4.9135,0.75
CBE_pct,40,0,0.0,40,0.0418,22.846,4.5108,1.3695,6.0958,6.5113,1.4739
pct_Ca,40,0,0.0,40,15.5059,64.8867,44.4542,44.2304,10.8653,10.6558,-0.0818
pct_Mg,40,0,0.0,40,10.1616,41.0798,24.4634,24.6751,7.6464,10.7888,0.0862
pct_Na_K,40,0,0.0,40,8.1372,72.8618,31.0825,30.4262,14.3837,20.5578,0.5598
pct_HCO3,40,0,0.0,40,25.7395,98.1035,70.9847,75.9035,22.6065,31.753,-0.6409
pct_Cl,40,0,0.0,40,1.2272,52.1765,19.0428,19.4226,14.2604,22.0647,0.4868
pct_SO4_NO3,40,0,0.0,40,0.115,57.1788,9.9726,4.5934,13.3714,8.9076,1.9699
Facies,40,0,0.0,7,,,,,,,
Gibbs_Cation,40,0,0.0,40,0.1119,0.8245,0.4033,0.4085,0.16,0.1946,0.2306
Gibbs_Anion,40,0,0.0,40,0.0124,0.6084,0.2263,0.1979,0.1837,0.2628,0.6921
Gibbs_Mechanism,40,0,0.0,2,,,,,,,
Ratio_Na_Cl,40,0,0.0,40,0.4607,17.4772,3.6081,1.3171,4.1694,3.9354,1.689
Ratio_Ca_Mg,40,0,0.0,40,1.0249,4.8575,1.9899,1.8517,0.807,1.0712,1.3798
Ratio_CaMg_HCO3SO4,40,0,0.0,40,0.369,2.4481,1.0461,0.9599,0.41,0.4404,1.2548
CAI_1,40,0,0.0,40,-16.6864,0.5026,-2.8625,-0.552,4.242,4.7852,-1.6316
CAI_2,40,0,0.0,40,-0.6898,0.243,-0.1475,-0.1398,0.1792,0.2313,-0.4664
Ion_Exchange_Process,40,0,0.0,2,,,,,,,
Fe_mgL,40,0,0.0,39,0.014,19.6,1.383,0.178,3.4812,0.9398,4.054
Mn_mgL,40,0,0.0,40,0.008,6.2,0.795,0.485,1.1057,0.6462,3.2029
Fe_ugL,40,0,0.0,39,14.0,19600.0,1382.975,178.0,3481.1731,939.75,4.054
Mn_ugL,40,0,0.0,40,8.0,6200.0,795.05,485.0,1105.7092,646.25,3.2029
As_ugL,40,0,0.0,17,0.25,28.7,2.98,0.6,6.6275,1.5,3.0844
Pb_ugL,40,0,0.0,32,0.16,7.58,0.83,0.43,1.2694,0.59,4.0709
Ni_ugL,40,0,0.0,28,0.5,8.9,2.515,1.65,2.036,2.225,1.6533
Zn_ugL,40,5,12.5,24,3.0,96.0,23.9143,16.0,23.2788,11.5,2.0003
Cd_ugL,40,0,0.0,19,0.01,0.66,0.105,0.07,0.123,0.095,2.738
WQI,40,0,0.0,40,5.0052,132.0116,32.9472,26.0931,27.7453,20.3412,2.1934
WQI_Category,40,0,0.0,3,,,,,,,
HPI,40,0,0.0,40,6.3543,319.3336,58.5592,32.0409,71.1932,56.1637,2.4047
HEI,40,0,0.0,40,0.4495,90.8971,12.9843,6.1737,17.7997,11.9493,2.8254
HPI_Polluted,40,0,0.0,2,,,,,,,
HEI_Category,40,0,0.0,3,,,,,,,
Latitude,40,0,0.0,40,24.0084,26.5851,25.1743,25.114,0.748,1.391,0.027
Longitude,40,0,0.0,40,88.1617,89.7084,88.9924,89.003,0.4559,0.7506,-0.1533
pH_proxy,40,0,0.0,40,6.8682,7.3183,7.0822,7.1043,0.1038,0.1353,-0.0875
