target,model,OOF_R2,OOF_RMSE,OOF_MAE,OOF_MedAE,OOF_Spearman_rho,OOF_Pearson_r,Bias,NRMSE
Ni_num,Dummy_Median,-0.2086,2.2102,1.4825,0.855,-0.4699,-0.4931,-0.761,0.2631
Ni_num,LinearRegression,0.1038,1.9032,1.2146,0.8579,0.5884,0.4061,0.0716,0.2266
Ni_num,Ridge,0.1376,1.867,1.2183,0.8505,0.5538,0.3898,0.0472,0.2223
Ni_num,Lasso,0.164,1.8382,1.1932,0.8626,0.6172,0.4191,0.0586,0.2188
Ni_num,ElasticNet,0.1727,1.8286,1.1795,0.8744,0.6094,0.4225,0.0472,0.2177
Ni_num,HuberRegressor,0.2271,1.7675,0.9624,0.5087,0.6165,0.5162,-0.3803,0.2104
Ni_num,RandomForest,0.1544,1.8488,1.2353,0.8962,0.4465,0.4399,0.0727,0.2201
Ni_num,ExtraTrees,0.2534,1.7371,1.0966,0.6922,0.5067,0.5037,-0.0065,0.2068
Ni_num,GradientBoosting,0.1484,1.8553,1.2236,0.8659,0.4246,0.388,-0.023,0.2209
Ni_num,HistGradientBoosting,-0.0997,2.1083,1.6018,1.3391,-0.5165,-0.7712,-0.0,0.251
Cd_num,Dummy_Median,-0.1155,0.1283,0.0748,0.051,-0.5776,-0.4708,-0.0356,0.1974
Cd_num,LinearRegression,0.7158,0.0648,0.0461,0.0344,0.6411,0.8483,-0.0036,0.0996
Cd_num,Ridge,0.697,0.0669,0.0467,0.0344,0.6376,0.8393,-0.0046,0.1029
Cd_num,Lasso,0.6798,0.0687,0.0474,0.0387,0.4823,0.8428,-0.0045,0.1058
Cd_num,ElasticNet,0.7074,0.0657,0.0458,0.0346,0.6459,0.8484,-0.0042,0.1011
Cd_num,HuberRegressor,0.7049,0.066,0.0468,0.0321,0.6368,0.8473,-0.0095,0.1015
Cd_num,RandomForest,0.4431,0.0907,0.054,0.0295,0.5621,0.6929,-0.0114,0.1395
Cd_num,ExtraTrees,0.5418,0.0822,0.0508,0.036,0.643,0.7606,-0.007,0.1265
Cd_num,GradientBoosting,0.4345,0.0914,0.0543,0.0291,0.635,0.6705,-0.0061,0.1405
Cd_num,HistGradientBoosting,-0.0802,0.1263,0.0821,0.0582,-0.5529,-0.7135,0.0,0.1943
