target,model,OOF_R2,OOF_RMSE,OOF_MAE,OOF_Spearman
Ni_num,Dummy_Median,-0.2086,2.2102,1.4825,-0.4699
Ni_num,LinearRegression,0.1038,1.9032,1.2146,0.5884
Ni_num,Ridge,0.1376,1.867,1.2183,0.5538
Ni_num,Lasso,0.164,1.8382,1.1932,0.6172
Ni_num,ElasticNet,0.1727,1.8286,1.1795,0.6094
Ni_num,HuberRegressor,0.2271,1.7675,0.9624,0.6165
Ni_num,RandomForest,0.1544,1.8488,1.2353,0.4465
Ni_num,ExtraTrees,0.2534,1.7371,1.0966,0.5067
Ni_num,GradientBoosting,0.1484,1.8553,1.2236,0.4246
Ni_num,HistGradientBoosting,-0.0997,2.1083,1.6018,-0.5165
Cd_num,Dummy_Median,-0.1155,0.1283,0.0748,-0.5776
Cd_num,LinearRegression,0.7158,0.0648,0.0461,0.6411
Cd_num,Ridge,0.697,0.0669,0.0467,0.6376
Cd_num,Lasso,0.6798,0.0687,0.0474,0.4823
Cd_num,ElasticNet,0.7074,0.0657,0.0458,0.6459
Cd_num,HuberRegressor,0.7049,0.066,0.0468,0.6368
Cd_num,RandomForest,0.4431,0.0907,0.054,0.5621
Cd_num,ExtraTrees,0.5418,0.0822,0.0508,0.643
Cd_num,GradientBoosting,0.4345,0.0914,0.0543,0.635
Cd_num,HistGradientBoosting,-0.0802,0.1263,0.0821,-0.5529
