target,model,train_R2_mean,OOF_R2_mean,generalization_gap_R2,train_RMSE_mean,OOF_RMSE_mean,RMSE_ratio,overfitting_risk
Ni_num,Dummy_Median,-0.1679,-0.2052,0.0373,2.1523,2.207,1.0254,LOW
Ni_num,LinearRegression,0.3979,0.026,0.3719,1.5446,1.9796,1.2816,HIGH
Ni_num,Ridge,0.3747,0.0838,0.2909,1.5745,1.9211,1.2202,MODERATE
Ni_num,Lasso,0.37,0.1285,0.2415,1.58,1.8743,1.1863,MODERATE
Ni_num,ElasticNet,0.3322,0.1203,0.2119,1.626,1.8826,1.1578,MODERATE
Ni_num,HuberRegressor,0.3183,0.224,0.0943,1.6434,1.7707,1.0774,LOW
Ni_num,RandomForest,0.7465,0.1026,0.644,0.9859,1.9038,1.931,HIGH
Ni_num,ExtraTrees,0.5477,0.2297,0.318,1.3337,1.7637,1.3224,HIGH
Ni_num,GradientBoosting,0.7154,0.1555,0.5599,1.0585,1.8473,1.7452,HIGH
Ni_num,HistGradientBoosting,0.0,-0.0684,0.0684,1.9913,2.0779,1.0435,LOW
Cd_num,Dummy_Median,-0.088,-0.107,0.019,0.1245,0.1278,1.027,LOW
Cd_num,LinearRegression,0.8141,0.7059,0.1082,0.0489,0.0658,1.3448,MODERATE
Cd_num,Ridge,0.8105,0.6571,0.1535,0.0492,0.071,1.4438,MODERATE
Cd_num,Lasso,0.797,0.6846,0.1125,0.051,0.0681,1.3353,MODERATE
Cd_num,ElasticNet,0.8086,0.7038,0.1048,0.0497,0.0661,1.3304,MODERATE
Cd_num,HuberRegressor,0.8033,0.6868,0.1165,0.0503,0.068,1.3522,MODERATE
Cd_num,RandomForest,0.8681,0.486,0.3821,0.042,0.0863,2.0522,HIGH
Cd_num,ExtraTrees,0.86,0.5429,0.3171,0.0419,0.0811,1.9357,HIGH
Cd_num,GradientBoosting,0.8317,0.4444,0.3874,0.0475,0.0897,1.89,HIGH
Cd_num,HistGradientBoosting,0.0,-0.0624,0.0624,0.1192,0.1252,1.05,LOW
Pb_num,Dummy_Median,-0.1127,-0.1135,0.0007,1.282,1.3226,1.0317,LOW
