target,candidate_model,OOF_R2_mean,OOF_R2_SD,OOF_RMSE_mean,OOF_RMSE_SD,OOF_MAE_mean,OOF_MAE_SD,Spearman_mean,Spearman_SD,generalization_gap,complexity_score,selection_status,selection_reason
Ni_num,HuberRegressor,0.224,0.0293,1.7707,0.0333,0.9765,0.0404,0.6333,0.0219,0.0943,1,SELECTED,Rank 1 selection score (0.1569) balancing OOF generalization gap and stability.
Ni_num,ExtraTrees,0.2297,0.044,1.7637,0.0511,1.134,0.0365,0.5052,0.0614,0.318,3,REJECTED,Lower OOF generalization or higher overfitting gap.
Ni_num,ElasticNet,0.1203,0.098,1.8826,0.1052,1.2245,0.0821,0.579,0.0539,0.2119,1,REJECTED,Lower OOF generalization or higher overfitting gap.
Ni_num,Lasso,0.1285,0.0896,1.8743,0.0977,1.2083,0.0927,0.5883,0.0423,0.2415,1,REJECTED,Lower OOF generalization or higher overfitting gap.
Ni_num,Ridge,0.0838,0.1059,1.9211,0.1116,1.258,0.0925,0.5201,0.0517,0.2909,1,REJECTED,Lower OOF generalization or higher overfitting gap.
Ni_num,LinearRegression,0.026,0.1312,1.9796,0.1338,1.2708,0.1265,0.5671,0.0678,0.3719,1,REJECTED,Lower OOF generalization or higher overfitting gap.
Ni_num,HistGradientBoosting,-0.0684,0.0226,2.0779,0.0219,1.5718,0.0172,-0.2361,0.094,0.0684,4,REJECTED,Lower OOF generalization or higher overfitting gap.
Ni_num,GradientBoosting,0.1555,0.0246,1.8473,0.027,1.2208,0.0332,0.4535,0.0551,0.5599,4,REJECTED,Lower OOF generalization or higher overfitting gap.
Ni_num,Dummy_Median,-0.2052,0.0206,2.207,0.0188,1.4495,0.0296,-0.2344,0.0971,0.0373,0,REJECTED,Lower OOF generalization or higher overfitting gap.
Ni_num,RandomForest,0.1026,0.0511,1.9038,0.0542,1.2797,0.0637,0.434,0.0505,0.644,3,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,LinearRegression,0.7059,0.0274,0.0658,0.0031,0.0465,0.0022,0.6845,0.0454,0.1082,1,SELECTED,Rank 1 selection score (0.6318) balancing OOF generalization gap and stability.
Cd_num,ElasticNet,0.7038,0.0248,0.0661,0.0028,0.0456,0.0015,0.6602,0.0465,0.1048,1,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,HuberRegressor,0.6868,0.0211,0.068,0.0023,0.0472,0.002,0.6729,0.0487,0.1165,1,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,Lasso,0.6846,0.0341,0.0681,0.0037,0.0469,0.0016,0.6139,0.0367,0.1125,1,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,Ridge,0.6571,0.0367,0.071,0.0038,0.0479,0.0019,0.6907,0.0539,0.1535,1,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,ExtraTrees,0.5429,0.1568,0.0811,0.0131,0.0512,0.004,0.6206,0.0151,0.3171,3,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,RandomForest,0.486,0.146,0.0863,0.0121,0.0531,0.0044,0.5842,0.0177,0.3821,3,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,GradientBoosting,0.4444,0.1591,0.0897,0.0125,0.0555,0.0036,0.5737,0.0388,0.3874,4,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,Dummy_Median,-0.107,0.0127,0.1278,0.0007,0.0747,0.001,-0.2244,0.0918,0.019,0,REJECTED,Lower OOF generalization or higher overfitting gap.
Cd_num,HistGradientBoosting,-0.0624,0.0315,0.1252,0.0018,0.0813,0.0011,-0.2214,0.0804,0.0624,4,REJECTED,Lower OOF generalization or higher overfitting gap.
