target,candidate_model,OOF_R2_mean,OOF_R2_SD,OOF_RMSE_mean,OOF_RMSE_SD,OOF_MAE_mean,OOF_MAE_SD,Spearman_mean,Spearman_SD
Ni_num,Dummy_Median,-0.2052,0.0206,2.207,0.0188,1.4495,0.0296,-0.2344,0.0971
Ni_num,LinearRegression,0.026,0.1312,1.9796,0.1338,1.2708,0.1265,0.5671,0.0678
Ni_num,Ridge,0.0838,0.1059,1.9211,0.1116,1.258,0.0925,0.5201,0.0517
Ni_num,Lasso,0.1285,0.0896,1.8743,0.0977,1.2083,0.0927,0.5883,0.0423
Ni_num,ElasticNet,0.1203,0.098,1.8826,0.1052,1.2245,0.0821,0.579,0.0539
Ni_num,HuberRegressor,0.224,0.0293,1.7707,0.0333,0.9765,0.0404,0.6333,0.0219
Ni_num,RandomForest,0.1026,0.0511,1.9038,0.0542,1.2797,0.0637,0.434,0.0505
Ni_num,ExtraTrees,0.2297,0.044,1.7637,0.0511,1.134,0.0365,0.5052,0.0614
Ni_num,GradientBoosting,0.1555,0.0246,1.8473,0.027,1.2208,0.0332,0.4535,0.0551
Ni_num,HistGradientBoosting,-0.0684,0.0226,2.0779,0.0219,1.5718,0.0172,-0.2361,0.094
Cd_num,Dummy_Median,-0.107,0.0127,0.1278,0.0007,0.0747,0.001,-0.2244,0.0918
Cd_num,LinearRegression,0.7059,0.0274,0.0658,0.0031,0.0465,0.0022,0.6845,0.0454
Cd_num,Ridge,0.6571,0.0367,0.071,0.0038,0.0479,0.0019,0.6907,0.0539
Cd_num,Lasso,0.6846,0.0341,0.0681,0.0037,0.0469,0.0016,0.6139,0.0367
Cd_num,ElasticNet,0.7038,0.0248,0.0661,0.0028,0.0456,0.0015,0.6602,0.0465
Cd_num,HuberRegressor,0.6868,0.0211,0.068,0.0023,0.0472,0.002,0.6729,0.0487
Cd_num,RandomForest,0.486,0.146,0.0863,0.0121,0.0531,0.0044,0.5842,0.0177
Cd_num,ExtraTrees,0.5429,0.1568,0.0811,0.0131,0.0512,0.004,0.6206,0.0151
Cd_num,GradientBoosting,0.4444,0.1591,0.0897,0.0125,0.0555,0.0036,0.5737,0.0388
Cd_num,HistGradientBoosting,-0.0624,0.0315,0.1252,0.0018,0.0813,0.0011,-0.2214,0.0804
Pb_num,Dummy_Median,-0.1135,0.0062,1.3226,0.0037,0.5954,0.0085,-0.2401,0.0428
Pb_num,LinearRegression,-0.0009,0.2422,1.2441,0.1571,0.6695,0.051,0.5505,0.0616
Pb_num,Ridge,0.1075,0.1428,1.1802,0.0968,0.6314,0.0356,0.5706,0.0482
Pb_num,Lasso,-0.0634,0.2152,1.2857,0.1328,0.7231,0.0615,0.1732,0.1339
Pb_num,ElasticNet,0.0097,0.2102,1.24,0.1347,0.6907,0.0563,0.3868,0.0992
Pb_num,HuberRegressor,0.118,0.1079,1.1748,0.0732,0.5711,0.0314,0.5117,0.0873
Pb_num,RandomForest,-0.1719,0.1584,1.3536,0.0939,0.7266,0.0379,0.3692,0.0453
Pb_num,ExtraTrees,-0.1044,0.2093,1.311,0.1277,0.6838,0.0689,0.4538,0.0858
Pb_num,GradientBoosting,-0.2643,0.2411,1.4026,0.138,0.7084,0.0663,0.337,0.1178
Pb_num,HistGradientBoosting,-0.0537,0.0142,1.2866,0.0087,0.6936,0.0079,-0.1639,0.0948
Fe_num,Dummy_Median,-0.1244,0.0004,3.6449,0.0006,1.3347,0.006,-0.315,0.0629
Fe_num,LinearRegression,-0.2996,0.1049,3.9156,0.1542,2.2678,0.1479,0.0408,0.0716
Fe_num,Ridge,-0.2049,0.0583,3.772,0.0899,2.1087,0.0855,-0.0791,0.0763
Fe_num,Lasso,-0.0915,0.0292,3.5909,0.0481,1.9519,0.0459,-0.2458,0.097
Fe_num,ElasticNet,-0.1115,0.0319,3.6236,0.052,1.9982,0.06,-0.3419,0.1056
Fe_num,HuberRegressor,-0.0941,0.0041,3.5955,0.0068,1.352,0.0246,0.2754,0.0548
Fe_num,RandomForest,-0.5034,0.2318,4.2027,0.3165,2.2784,0.1925,-0.2973,0.0528
Fe_num,ExtraTrees,-0.179,0.0727,3.7306,0.113,2.0975,0.1304,-0.1454,0.1023
Fe_num,GradientBoosting,-0.3151,0.1618,3.9349,0.235,2.0615,0.2103,-0.2841,0.0381
Fe_num,HistGradientBoosting,-0.0722,0.032,3.559,0.0527,1.9179,0.0425,-0.2472,0.0686
As_num,Dummy_Median,-0.1345,0.0026,6.9704,0.0079,2.7285,0.0129,-0.325,0.0375
As_num,LinearRegression,-0.2761,0.0783,7.3892,0.2249,4.5154,0.2082,-0.0653,0.0982
As_num,Ridge,-0.1902,0.0456,7.1379,0.1352,4.2686,0.1474,-0.0718,0.1046
As_num,Lasso,-0.0939,0.0474,6.8427,0.1482,4.035,0.1794,-0.1268,0.1267
As_num,ElasticNet,-0.123,0.0391,6.9339,0.1206,4.0717,0.1584,-0.0848,0.1095
As_num,HuberRegressor,-0.1152,0.0103,6.9108,0.0319,2.8189,0.0487,-0.0677,0.0462
As_num,RandomForest,-0.4342,0.0949,7.8328,0.2555,4.6945,0.241,-0.2036,0.1599
As_num,ExtraTrees,-0.1958,0.0606,7.1541,0.1783,4.2359,0.2143,-0.0967,0.1047
As_num,GradientBoosting,-0.3297,0.0795,7.5427,0.2246,4.4281,0.2915,-0.2109,0.1084
As_num,HistGradientBoosting,-0.0716,0.0348,6.7734,0.1092,3.9482,0.0791,-0.1856,0.08
Mn_num,Dummy_Median,-0.0929,0.0149,1.1414,0.0078,0.6233,0.0094,-0.2169,0.1478
Mn_num,LinearRegression,-0.1533,0.0908,1.1716,0.0454,0.7674,0.0512,0.2905,0.0733
Mn_num,Ridge,-0.0826,0.0568,1.1356,0.0296,0.7277,0.0376,0.3064,0.0865
Mn_num,Lasso,-0.0797,0.0406,1.1343,0.0212,0.7248,0.0231,0.0444,0.1482
