SAMPLE_ID,true_value,predicted_value,lower_bound_90pct,upper_bound_90pct,interval_width,is_covered
S98_01785,0.28,0.3092,0.2158,0.4025,0.1867,True
S98_01786,0.19,0.0716,0.0,0.165,0.165,False
S98_01788,0.27,0.1802,0.0869,0.2735,0.1867,True
S98_01789,0.12,0.2044,0.111,0.2977,0.1867,True
S98_01791,0.12,0.1845,0.0912,0.2779,0.1867,True
S98_01792,0.66,0.4304,0.3371,0.5238,0.1867,False
S98_01793,0.16,0.1866,0.0933,0.28,0.1867,True
S98_01794,0.14,0.0466,0.0,0.1399,0.1399,False
S98_01795,0.08,0.115,0.0217,0.2084,0.1867,True
S98_01796,0.06,0.0636,0.0,0.1569,0.1569,True
S98_01797,0.02,0.0489,0.0,0.1423,0.1423,True
S98_01798,0.39,0.318,0.2246,0.4113,0.1867,True
S98_01799,0.06,0.0608,0.0,0.1541,0.1541,True
S98_01800,0.15,0.1915,0.0981,0.2848,0.1867,True
S98_01801,0.09,0.0534,0.0,0.1467,0.1467,True
S98_01802,0.2,0.1685,0.0751,0.2618,0.1867,True
S98_01803,0.08,0.0738,0.0,0.1671,0.1671,True
S98_01804,0.07,0.0738,0.0,0.1672,0.1672,True
S98_01805,0.01,0.0472,0.0,0.1406,0.1406,True
S98_01806,0.05,0.1232,0.0298,0.2165,0.1867,True
S98_01807,0.16,0.0507,0.0,0.1441,0.1441,False
S98_01808,0.11,0.17,0.0767,0.2634,0.1867,True
S98_01809,0.08,0.0515,0.0,0.1448,0.1448,True
S98_01810,0.01,0.0697,0.0,0.1631,0.1631,True
S98_01811,0.05,0.0493,0.0,0.1426,0.1426,True
S98_01813,0.01,0.0485,0.0,0.1418,0.1418,True
S98_01815,0.03,-0.0164,0.0,0.077,0.077,True
S98_01817,0.01,0.0452,0.0,0.1385,0.1385,True
S98_01818,0.01,0.0247,0.0,0.1181,0.1181,True
S98_01819,0.02,0.0553,0.0,0.1487,0.1487,True
S98_01820,0.03,0.0221,0.0,0.1155,0.1155,True
S98_01821,0.03,0.03,0.0,0.1233,0.1233,True
S98_01822,0.11,0.0372,0.0,0.1305,0.1305,True
S98_01823,0.06,0.0696,0.0,0.1629,0.1629,True
S98_01824,0.06,0.0664,0.0,0.1597,0.1597,True
S98_01825,0.03,0.0385,0.0,0.1318,0.1318,True
S98_01826,0.02,0.0354,0.0,0.1288,0.1288,True
S98_01827,0.07,0.0432,0.0,0.1366,0.1366,True
S98_01828,0.09,0.0608,0.0,0.1542,0.1542,True
S98_01834,0.01,0.0466,0.0,0.1399,0.1399,True
