SAMPLE_ID,true_value,predicted_value,lower_bound_90pct,upper_bound_90pct,interval_width,is_covered
S98_01785,1.1,2.8645,0.983,4.7459,3.7629,True
S98_01786,1.0,1.0322,0.0,2.9137,2.9137,True
S98_01788,1.4,1.1824,0.0,3.0639,3.0639,True
S98_01789,0.8,0.9916,0.0,2.8731,2.8731,True
S98_01791,1.0,1.2165,0.0,3.0979,3.0979,True
S98_01792,1.7,3.1184,1.237,4.9999,3.7629,True
S98_01793,0.9,1.0519,0.0,2.9333,2.9333,True
S98_01794,1.3,1.7725,0.0,3.6539,3.6539,True
S98_01795,3.3,1.4159,0.0,3.2973,3.2973,False
S98_01796,0.7,1.1131,0.0,2.9946,2.9946,True
S98_01797,0.8,1.5486,0.0,3.43,3.43,True
S98_01798,1.2,2.7826,0.9012,4.6641,3.7629,True
S98_01799,0.5,0.8377,0.0,2.7191,2.7191,True
S98_01800,2.4,1.1358,0.0,3.0172,3.0172,True
S98_01801,1.3,1.1273,0.0,3.0088,3.0088,True
S98_01802,3.0,2.3869,0.5054,4.2683,3.7629,True
S98_01803,2.0,1.2792,0.0,3.1606,3.1606,True
S98_01804,1.5,2.9103,1.0289,4.7918,3.7629,True
S98_01805,1.1,1.8359,0.0,3.7173,3.7173,True
S98_01806,1.5,1.8285,0.0,3.7099,3.7099,True
S98_01807,1.6,1.4959,0.0,3.3773,3.3773,True
S98_01808,7.5,3.3606,1.4792,5.2421,3.7629,False
S98_01809,1.1,1.08,0.0,2.9615,2.9615,True
S98_01810,2.1,0.7412,0.0,2.6226,2.6226,True
S98_01811,8.0,0.5612,0.0,2.4426,2.4426,False
S98_01813,2.1,2.5948,0.7133,4.4762,3.7629,True
S98_01815,3.4,4.9719,3.0904,6.8533,3.7629,True
S98_01817,1.5,2.0914,0.21,3.9729,3.7629,True
S98_01818,4.5,4.0707,2.1893,5.9522,3.7629,True
S98_01819,3.5,3.641,1.7596,5.5225,3.7629,True
S98_01820,5.5,4.4252,2.5437,6.3066,3.7629,True
S98_01821,4.7,4.8214,2.9399,6.7028,3.7629,True
S98_01822,3.9,3.0247,1.1433,4.9062,3.7629,True
S98_01823,1.0,1.3258,0.0,3.2073,3.2073,True
S98_01824,1.0,1.2546,0.0,3.1361,3.1361,True
S98_01825,3.1,3.7618,1.8804,5.6433,3.7629,True
S98_01826,8.9,2.9695,1.0881,4.851,3.7629,False
S98_01827,3.0,3.4434,1.5619,5.3248,3.7629,True
S98_01828,3.5,3.7197,1.8383,5.6012,3.7629,True
S98_01834,2.2,2.3116,0.4302,4.1931,3.7629,True
